name,pokedex_num,clear_path,blacked_path,description,tier,generation,de,fr,jp,ko,zh,en
meowth,52.0,./gifs/clear/meowth.gif,./gifs/blacked/meowth.gif,"Meowth is the 52nd Pokémon in the Pokédex. It is a Normal-Type, and is known as the Scratch Cat Pokémon.",0.0,kanto,mauzi,miaouss,ニャース,나옹,喵喵,meowth
persian,53.0,./gifs/clear/persian.gif,./gifs/blacked/persian.gif,"Persian is the 53rd Pokémon in the Pokédex. It is a Normal-Type, and is known as the Classy Cat Pokémon.",0.0,kanto,snobilikat,persian,ペルシアン,페르시온,貓老大,persian
psyduck,54.0,./gifs/clear/psyduck.gif,./gifs/blacked/psyduck.gif,"Psyduck is the 54th Pokémon in the Pokédex. It is a Water Type, and it is known as the Duck Pokémon.",0.0,kanto,enton,psykokwak,コダック,고라파덕,可達鴨,psyduck
golduck,55.0,./gifs/clear/golduck.gif,./gifs/blacked/golduck.gif,"Golduck is the 55th Pokémon in the Pokédex. It is a Water-Type, and it is known as the Duck Pokémon.",0.0,kanto,entoron,akwakwak,ゴルダック,골덕,哥達鴨,golduck
mankey,56.0,./gifs/clear/mankey.gif,./gifs/blacked/mankey.gif,"Mankey is the 56th Pokémon in the Pokédex. It is a Fighting-Type, and is known as the Pig Monkey Pokémon.",0.0,kanto,menki,férosinge,マンキー,망키,猴怪,mankey
primeape,57.0,./gifs/clear/primeape.gif,./gifs/blacked/primeape.gif,"Primeape is the 57th Pokémon in the Pokédex. It is a Fighting-Type, and is known as the Pig Monkey Pokémon.",0.0,kanto,rasaff,colossinge,オコリザル,성원숭,火爆猴,primeape
growlithe,58.0,./gifs/clear/growlithe.gif,./gifs/blacked/growlithe.gif,"Growlithe is the 58th Pokémon in the Pokédex. It is a Fire-Type, and it is known as the Puppy Pokémon.",0.0,kanto,fukano,caninos,ガーディ,가디,卡蒂狗,growlithe
arcanine,59.0,./gifs/clear/arcanine.gif,./gifs/blacked/arcanine.gif,"Arcanine is the 59th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Legendary Pokémon.",0.0,kanto,arkani,arcanin,ウインディ,윈디,風速狗,arcanine
poliwag,60.0,./gifs/clear/poliwag.gif,./gifs/blacked/poliwag.gif,"Poliwag is the 60th Pokémon in the Pokédex. It is a Water-Type, and is known as the Tadpole Pokémon.",0.0,kanto,quapsel,ptitard,ニョロモ,발챙이,蚊香蝌蚪,poliwag
poliwhirl,61.0,./gifs/clear/poliwhirl.gif,./gifs/blacked/poliwhirl.gif,"Poliwhirl is the 61st Pokémon in the Pokédex. It is a Water-Type, and is known as the Tadpole Pokémon.",0.0,kanto,quaputzi,têtarte,ニョロゾ,슈륙챙이,蚊香君,poliwhirl
poliwrath,62.0,./gifs/clear/poliwrath.gif,./gifs/blacked/poliwrath.gif,"Poliwrath is the 62nd Pokémon in the Pokédex. It is a Water/Fighting-Type, and is known as the Tadpole Pokémon.",0.0,kanto,quappo,tartard,ニョロボン,강챙이,蚊香泳士,poliwrath
abra,63.0,./gifs/clear/abra.gif,./gifs/blacked/abra.gif,"Abra is the 63rd Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0.0,kanto,abra,abra,ケーシィ,캐이시,凱西,abra
kadabra,64.0,./gifs/clear/kadabra.gif,./gifs/blacked/kadabra.gif,"Kadabra is the 64th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0.0,kanto,kadabra,kadabra,ユンゲラー,윤겔라,勇基拉,kadabra
alakazam,65.0,./gifs/clear/alakazam.gif,./gifs/blacked/alakazam.gif,"Alakazam is the 65th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Psi Pokémon.",0.0,kanto,simsala,alakazam,フーディン,후딘,胡地,alakazam
machop,66.0,./gifs/clear/machop.gif,./gifs/blacked/machop.gif,"Machop is the 66th Pokémon in the Pokédex. It is a Fighting-Type, and is known as the Superpower Pokémon.",0.0,kanto,machollo,machoc,ワンリキー,알통몬,腕力,machop
machoke,67.0,./gifs/clear/machoke.gif,./gifs/blacked/machoke.gif,"Machoke is the 67th Pokémon in the Pokédex. It is a Fighting-Type, and is known as the Superpower Pokémon.",0.0,kanto,maschock,machopeur,ゴーリキー,근육몬,豪力,machoke
machamp,68.0,./gifs/clear/machamp.gif,./gifs/blacked/machamp.gif,"Machamp is the 68th Pokémon in the Pokédex. It is a Fighting-Type, and is known as the Superpower Pokémon.",0.0,kanto,machomei,mackogneur,カイリキー,괴력몬,怪力,machamp
bellsprout,69.0,./gifs/clear/bellsprout.gif,./gifs/blacked/bellsprout.gif,"Bellsprout is the 69th Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Flower Pokémon.",0.0,kanto,knofensa,chétiflor,マダツボミ,모다피,喇叭芽,bellsprout
weepinbell,70.0,./gifs/clear/weepinbell.gif,./gifs/blacked/weepinbell.gif,"Weepinbell is the 70th Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Flycatcher Pokémon.",0.0,kanto,ultrigaria,boustiflor,ウツドン,우츠동,口呆花,weepinbell
victreebel,71.0,./gifs/clear/victreebel.gif,./gifs/blacked/victreebel.gif,"Victreebel is the 71st Pokémon in the Pokédex. It is a Grass/Poison-Type, and it is known as the Flycatcher Pokémon.",0.0,kanto,sarzenia,empiflor,ウツボット,우츠보트,大食花,victreebel
tentacool,72.0,./gifs/clear/tentacool.gif,./gifs/blacked/tentacool.gif,"Tentacool is the 72nd Pokémon in the Pokédex. It is a Water/Poison-Type, and is known as the Jellyfish Pokémon.",0.0,kanto,tentacha,tentacool,メノクラゲ,왕눈해,瑪瑙水母,tentacool
tentacruel,73.0,./gifs/clear/tentacruel.gif,./gifs/blacked/tentacruel.gif,"Tentacruel is the 73rd Pokémon in the Pokédex. It is a Water/Poison-Type, and is known as the Jellyfish Pokémon.",0.0,kanto,tentoxa,tentacruel,ドククラゲ,독파리,毒刺水母,tentacruel
geodude,74.0,./gifs/clear/geodude.gif,./gifs/blacked/geodude.gif,"Geodude is the 74th Pokémon in the Pokédex. It is a Rock/Ground-Type, and is known as the Rock Pokémon.",0.0,kanto,kleinstein,racaillou,イシツブテ,꼬마돌,小拳石,geodude
graveler,75.0,./gifs/clear/graveler.gif,./gifs/blacked/graveler.gif,"Graveler is the 75th Pokémon in the Pokédex. It is a Rock/Ground-Type, and is known as the Rock Pokémon.",0.0,kanto,georok,gravalanch,ゴローン,데구리,隆隆石,graveler
golem,76.0,./gifs/clear/golem.gif,./gifs/blacked/golem.gif,"Golem is the 76th Pokémon in the Pokédex. It is a Rock/Ground-Type, and is known as the Megaton Pokémon.",0.0,kanto,geowaz,grolem,ゴローニャ,딱구리,隆隆岩,golem
ponyta,77.0,./gifs/clear/ponyta.gif,./gifs/blacked/ponyta.gif,"Ponyta is the 77th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Fire Horse Pokémon.",0.0,kanto,ponita,ponyta,ポニータ,포니타,小火馬,ponyta
rapidash,78.0,./gifs/clear/rapidash.gif,./gifs/blacked/rapidash.gif,"Rapidash is the 78th Pokémon in the Pokédex. It is a Fire-Type, and it is know as the Fire Horse Pokémon.",0.0,kanto,gallopa,galopa,ギャロップ,날쌩마,烈焰馬,rapidash
slowpoke,79.0,./gifs/clear/slowpoke.gif,./gifs/blacked/slowpoke.gif,"Slowpoke the 79th Pokémon in the Pokédex. It is a Water/Psychic-Type, and is known as the Dopey Pokémon.",0.0,kanto,flegmon,ramoloss,ヤドン,야돈,呆呆獸,slowpoke
slowbro,80.0,./gifs/clear/slowbro.gif,./gifs/blacked/slowbro.gif,"Slowbro is the 80th Pokémon in the Pokédex. It is a Water/Psychic-Type, and is known as the Hermit Crab Pokémon.",0.0,kanto,lahmus,flagadoss,ヤドラン,야도란,呆殼獸,slowbro
magnemite,81.0,./gifs/clear/magnemite.gif,./gifs/blacked/magnemite.gif,"Magnemite is the 81st Pokémon in the Pokédex. It was originally only an Electric Type but in Generation II onwards, it would be reclassified as a Dual Electric/Steel Type. It is known as the Magnet Pokémon.",0.0,kanto,magnetilo,magnéti,コイル,코일,小磁怪,magnemite
magneton,82.0,./gifs/clear/magneton.gif,./gifs/blacked/magneton.gif,"Magneton is the 82nd Pokémon in the Pokédex. Originally it was classified as an Electric Type but in Generation II onwards, it would be reclassified as a Dual Electric/Steel Type. It is known as the Magnet Pokémon.",0.0,kanto,magneton,magnéton,レアコイル,레어코일,三合一磁怪,magneton
farfetch'd,,,,,,,,,,,,
doduo,84.0,./gifs/clear/doduo.gif,./gifs/blacked/doduo.gif,"Doduo is the 84th Pokémon in the Pokédex. It is a Normal/Flying-Type, and is known as the Twin Bird Pokémon.",0.0,kanto,dodu,doduo,ドードー,두두,嘟嘟,doduo
dodrio,85.0,./gifs/clear/dodrio.gif,./gifs/blacked/dodrio.gif,"Dodrio is the 85th Pokémon in the Pokédex. It is a Normal/Flying-Type, and is known as the Triple Bird Pokémon.",0.0,kanto,dodri,dodrio,ドードリオ,두트리오,嘟嘟利,dodrio
seel,86.0,./gifs/clear/seel.gif,./gifs/blacked/seel.gif,"Seel is the 86th Pokémon in the Pokédex. It is a Water-Type, and is known as the Sea Lion Pokémon.",0.0,kanto,jurob,otaria,パウワウ,쥬쥬,小海獅,seel
dewgong,87.0,./gifs/clear/dewgong.gif,./gifs/blacked/dewgong.gif,"Dewgong is the 87th Pokémon in the Pokédex. It is a Water/Ice-Type, and is known as the Sea Lion Pokémon.",0.0,kanto,jugong,lamantine,ジュゴン,쥬레곤,白海獅,dewgong
grimer,88.0,./gifs/clear/grimer.gif,./gifs/blacked/grimer.gif,"Grimer is the 88th Pokémon in the Pokédex. It is a Poison-Type, and is known as the Sludge Pokémon.",0.0,kanto,sleima,tadmorv,ベトベター,질퍽이,臭泥,grimer
muk,89.0,./gifs/clear/muk.gif,./gifs/blacked/muk.gif,"Muk is the 89th Pokémon in the Pokédex. It is a Poison-Type, and is known as the Sludge Pokémon.",0.0,kanto,sleimok,grotadmorv,ベトベトン,질뻐기,臭臭泥,muk
shellder,90.0,./gifs/clear/shellder.gif,./gifs/blacked/shellder.gif,"Shellder is the 90th Pokémon in the Pokédex. It is a Water-Type, and it is known as the Bivalve Pokémon.",0.0,kanto,muschas,kokiyas,シェルダー,셀러,大舌貝,shellder
cloyster,91.0,./gifs/clear/cloyster.gif,./gifs/blacked/cloyster.gif,"Cloyster is the 91st Pokémon in the Kanto Pokédex. It is a Water/Ice Type, and is known as the Bivalve Pokémon.",0.0,kanto,austos,crustabri,パルシェン,파르셀,刺甲貝,cloyster
gastly,92.0,./gifs/clear/gastly.gif,./gifs/blacked/gastly.gif,"Gastly is the 92nd Pokémon in the Pokédex. It is a Ghost/Poison-Type, and is known as the Gas Pokémon.",0.0,kanto,nebulak,fantominus,ゴース,고오스,鬼斯,gastly
haunter,93.0,./gifs/clear/haunter.gif,./gifs/blacked/haunter.gif,"Haunter is the 93rd Pokémon in the Pokédex. It is a Ghost/Poison-Type, and is known as the Gas Pokémon.",0.0,kanto,alpollo,spectrum,ゴースト,고우스트,鬼斯通,haunter
gengar,94.0,./gifs/clear/gengar.gif,./gifs/blacked/gengar.gif,"Gengar is the 94th Pokémon in the Pokédex. It is a Ghost/Poison-Type, and is known as the Shadow Pokémon.",0.0,kanto,gengar,ectoplasma,ゲンガー,팬텀,耿鬼,gengar
onix,95.0,./gifs/clear/onix.gif,./gifs/blacked/onix.gif,"Onix is the 95th Pokémon in the Pokédex. It is a Rock/Ground Type, and is known as the Rock Snake Pokémon.",0.0,kanto,onix,onix,イワーク,롱스톤,大岩蛇,onix
drowzee,96.0,./gifs/clear/drowzee.gif,./gifs/blacked/drowzee.gif,"Drowzee is the 96th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Hypnosis Pokémon.",0.0,kanto,traumato,soporifik,スリープ,슬리프,催眠貘,drowzee
hypno,97.0,./gifs/clear/hypno.gif,./gifs/blacked/hypno.gif,"Hypno is the 97th Pokémon in the Pokédex. It is a Psychic-Type, and is known as the Hypnosis Pokémon.",0.0,kanto,hypno,hypnomade,スリーパー,슬리퍼,引夢貘人,hypno
krabby,98.0,./gifs/clear/krabby.gif,./gifs/blacked/krabby.gif,"Krabby is a Water-type Pokémon introduced in generation I. It is known as the River Crab Pokémon, and it evolves into Kingler at level 28.",0.0,kanto,krabby,krabby,クラブ,크랩,大鉗蟹,krabby
kingler,99.0,./gifs/clear/kingler.gif,./gifs/blacked/kingler.gif,"Kingler is a Water-type Pokémon introduced in generation I. It is known as the River Crab Pokémon, which it evolved from Krabby at level 28.",0.0,kanto,kingler,krabboss,キングラー,킹크랩,巨鉗蟹,kingler
voltorb,100.0,./gifs/clear/voltorb.gif,./gifs/blacked/voltorb.gif,Voltorb is an Electric-type Pokémon. It evolves into Electrode at level 30.,0.0,kanto,voltobal,voltorbe,ビリリダマ,찌리리공,霹靂電球,voltorb
electrode,101.0,./gifs/clear/electrode.gif,./gifs/blacked/electrode.gif,"Electrode is an electric pokemon which is favoured by Lt.Surge, the Gym Leader of Vermillion City. Electrode is an evolution of Voltorb and has quick speed which enables it to strike it's opponent first. It is also known to drift on winds if it is bloated to storing electricity. In competitive play even though its in the NU tier, it is used for quick strikes and explosion.",0.0,kanto,lektrobal,électrode,マルマイン,붐볼,頑皮雷彈,electrode
exeggcute,102.0,./gifs/clear/exeggcute.gif,./gifs/blacked/exeggcute.gif,"Exeggcute is the 102nd Pokémon in the Pokédex. It is a Grass/Psychic-Type, and is known as the Egg Pokémon.",0.0,kanto,owei,noeunoeuf,タマタマ,아라리,蛋蛋,exeggcute
exeggutor,103.0,./gifs/clear/exeggutor.gif,./gifs/blacked/exeggutor.gif,"Exeggutor is a grass and psychic Pokemon which, was introduced during generation I. It evolved from Exeggcute after a Leaf Stone was used on it.",0.0,kanto,kokowei,noadkoko,ナッシー,나시,椰蛋樹,exeggutor
cubone,104.0,./gifs/clear/cubone.gif,./gifs/blacked/cubone.gif,"Cubone is the 104th Pokémon in the Pokédex. It is a Ground-Type, and is known as the Lonely Pokémon.",0.0,kanto,tragosso,osselait,カラカラ,탕구리,卡拉卡拉,cubone
marowak,105.0,./gifs/clear/marowak.gif,./gifs/blacked/marowak.gif,"Marowak is a ground type Pokemon which, was introduced during generation I. It evolved from Cubone when it reached level 28.",0.0,kanto,knogga,ossatueur,ガラガラ,텅구리,嘎啦嘎啦,marowak
