name,clear_path,blacked_path,description
arceus,./gifs/clear/arceus.gif,./gifs/blacked/arceus.gif,"Arceus is the 493rd Pokémon in the Pokédex. It can potentially be any of the 18 known types of Pokémon, and it is known as the Alpha Pokémon."
archen,./gifs/clear/archen.gif,./gifs/blacked/archen.gif,"Archen is the 72nd Pokémon in the Unova Pokédex. It is a Rock/Flying-Type, and it is known as the First Bird Pokémon."
archeops,./gifs/clear/archeops.gif,./gifs/blacked/archeops.gif,"Archeops is the 73rd Pokémon in the Unova Pokédex. It is a Rock/Flying Type, and it is known as the First Bird Pokémon."
arctovish,./gifs/clear/arctovish.gif,./gifs/blacked/arctovish.gif,"Arctovish is a Water/Ice type Pokémon introduced in Generation 8. It is known as the Fossil Pokémon."
arctozolt,./gifs/clear/arctozolt.gif,./gifs/blacked/arctozolt.gif,"Arctozolt is an Electric/Ice type Pokémon introduced in Generation 8. The shaking of its freezing upper half is what generates its electricity."
ariados,./gifs/clear/ariados.gif,./gifs/blacked/ariados.gif,"Ariados is the 33rd Pokémon in the Johto Pokédex. It is a Bug/Poison type, and is known as the Long Leg Pokémon."
armaldo,./gifs/clear/armaldo.gif,./gifs/blacked/armaldo.gif,"Armaldo is the 136th Pokémon in the Hoenn Pokédex. It is a Rock/Bug type, and is known as the Plate Pokémon."
aromatisse,./gifs/clear/aromatisse.gif,./gifs/blacked/aromatisse.gif,"Aromatisse is the 130th Pokémon in the Kalos Central Pokédex. It is a Fairy-Type, and is known as the Fragrance Pokémon."
aron,./gifs/clear/aron.gif,./gifs/blacked/aron.gif,"Aron is the 70th Pokémon in the Hoenn Pokédex. It is a Steel/Rock Type, and it is known as the Iron Armor Pokémon."
arrokuda,./gifs/clear/arrokuda.gif,./gifs/blacked/arrokuda.gif,"Arrokuda is the 180th Pokémon in the Galar Pokédex. It is a Water-type, and is known as the Rush Pokémon."
articuno,./gifs/clear/articuno.gif,./gifs/blacked/articuno.gif,"Articuno is an Ice/Flying-type legendary introduced in the Red and Blue versions. Articuno is one of the three legendary birds along with Zapdos and Moltres, the original legendary trio"
audino-mega,./gifs/clear/audino-mega.gif,./gifs/blacked/audino-mega.gif,"Mega Audino, the Mega Evolution of Audino activated by using Mega Stone, was revealed by the official Korean Pokémon website, alongside Mega Slowbro. It gains Fairy-typing on top of Normal-type upon evolution."
audino,./gifs/clear/audino.gif,./gifs/blacked/audino.gif,"Audino is the 37th Pokémon in the Unova Pokédex. It is a Normal Type, and it is known as the Healing Pokémon."
aurorus,./gifs/clear/aurorus.gif,./gifs/blacked/aurorus.gif,"Aurorus is the 67th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Ice-Type, and is known as the Tundra Pokémon."
avalugg,./gifs/clear/avalugg.gif,./gifs/blacked/avalugg.gif,"Avalugg is the 80th Pokémon in the Kalos Mountain Pokédex. It is an Ice-Type, and it is known as the Iceberg Pokémon."
axew,./gifs/clear/axew.gif,./gifs/blacked/axew.gif,"Axew is the 116th Pokemon in the Unova Pokédex. It is a Dragon-Type, and it is known as the Tusk Pokémon."
azelf,./gifs/clear/azelf.gif,./gifs/blacked/azelf.gif,"Azelf is the 148th Pokémon in the Sinnoh Pokédex. It is a Psychic-Type, and is known as the Willpower Pokémon."
azumarill,./gifs/clear/azumarill.gif,./gifs/blacked/azumarill.gif,"Azumarill is the 133rd Pokémon in the Johto Pokédex. It is a dual Water/Fairy-Type, and it is known as the Aquarabbit Pokémon. Prior to Generation VI it was a pure Water type Pokémon."
azurill,./gifs/clear/azurill.gif,./gifs/blacked/azurill.gif,"Azurill is the 54th Pokémon in the Hoenn Pokédex. It is a dual Normal/Fairy-Type, and it is known as the Polka Dot Pokémon. Prior to Generation VI it was a pure Normal type Pokémon."
bagon,./gifs/clear/bagon.gif,./gifs/blacked/bagon.gif,"Bagon is the 187th Pokémon in the Hoenn Pokédex. It is a Dragon type, and is known as the Rock Head Pokémon."
baltoy,./gifs/clear/baltoy.gif,./gifs/blacked/baltoy.gif,"Baltoy is the 131st Pokémon in the Hoenn Pokédex. It is a Ground/Psychic-Type, and it is known as the Clay Doll Pokémon."
banette-mega,./gifs/clear/banette-mega.gif,./gifs/blacked/banette-mega.gif,"Mega Banette is the Mega Evolution of Banette via the use of a Banettite. It is a Ghost-Type, and is known as the Marionette Pokémon. Mega Banette uses the Prankster Ability, which gives priority to status-inducing moves."
banette,./gifs/clear/banette.gif,./gifs/blacked/banette.gif,"Banette is the 147th Pokémon in the Hoenn Pokédex. It is a Ghost type, and is known as the Marionette Pokémon."
barbaracle,./gifs/clear/barbaracle.gif,./gifs/blacked/barbaracle.gif,"Barbaracle is the 22nd Pokémon in the Kalos Coastal Pokédex. It is a Rock/Water-Type, and is known as the Collective Pokémon."
barboach,./gifs/clear/barboach.gif,./gifs/blacked/barboach.gif,"Barboach is the 127th Pokémon in the Hoenn Pokédex. It is a Water/Ground-Type, and it is known as the Whiskers Pokémon."
barraskewda,./gifs/clear/barraskewda.gif,./gifs/blacked/barraskewda.gif,"Barraskewda is the 181st Pokémon in the Galar Pokédex. It is a Water-type, and is known as the Skewer Pokémon."
basculin,./gifs/clear/basculin.gif,./gifs/blacked/basculin.gif,"Basculin is the 56th Pokémon in the Unova Pokédex. It is a Water Type, and it is known as the Hostile Pokémon."
bastiodon,./gifs/clear/bastiodon.gif,./gifs/blacked/bastiodon.gif,"Bastiodon is the 39th Pokémon in the Sinnoh Pokédex. It is a Rock/Steel Type, and it is known as the Shield Pokémon."
bayleef,./gifs/clear/bayleef.gif,./gifs/blacked/bayleef.gif,"Bayleef, the Leaf Pokémon, is the second stage in the evolutionary chain of the Generation II Grass type starter, Chikorita. It is the second Pokémon in the Johto Pokédex."
beartic,./gifs/clear/beartic.gif,./gifs/blacked/beartic.gif,"Beartic is the 120th Pokémon in the Unova Pokédex. It is an Ice-Type, and it is known as the Freezing Pokémon."
beautifly,./gifs/clear/beautifly.gif,./gifs/blacked/beautifly.gif,"Beautifly is the 16th Pokémon in the Hoenn Pokédex. It is a Bug/Flying Type, and is classified as a Butterfly Pokémon."
beedrill,./gifs/clear/beedrill.gif,./gifs/blacked/beedrill.gif,"Beedrill is the 15th Pokémon in the Pokédex. It is a Bug/Poison type, and is known as the Poison Bee Pokémon."
beheeyem,./gifs/clear/beheeyem.gif,./gifs/blacked/beheeyem.gif,"Beheeyem is the 112th Pokémon in the Unova Pokédex. It is a Psychic Type, and it is known as the Brain Pokémon."
beldum,./gifs/clear/beldum.gif,./gifs/blacked/beldum.gif,"Beldum is the 190th Pokémon in the Hoenn Pokédex. It is a Steel/Psychic Type, and it is known as the Iron Ball Pokémon."
bellossom,./gifs/clear/bellossom.gif,./gifs/blacked/bellossom.gif,"Bellossom is the 86th Pokémon in the Johto Pokédex. It is a Grass-Type, and is known as the Flower Pokémon."
bellsprout,./gifs/clear/bellsprout.gif,./gifs/blacked/bellsprout.gif,"Bellsprout is the 69th Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Flower Pokémon."
bergmite,./gifs/clear/bergmite.gif,./gifs/blacked/bergmite.gif,"Bergmite is the 79th Pokémon in the Kalos Mountain Pokédex. It is an Ice-Type, and it is known as the Ice Chunk Pokémon."
bewear,./gifs/clear/bewear.gif,./gifs/blacked/bewear.gif,"Bewear is the 170th Pokémon in the Alola Pokédex. It is a Normal/Fighting type, and is known as the Strong Arm Pokémon."
bibarel,./gifs/clear/bibarel.gif,./gifs/blacked/bibarel.gif,"Bibarel is the 14th Pokémon in the Sinnoh Pokédex. It is a Normal/Water Type, and it is known as the Beaver Pokémon."
bidoof,./gifs/clear/bidoof.gif,./gifs/blacked/bidoof.gif,"Bidoof is the 13th Pokémon in the Sinnoh Pokédex. It is a Normal-Type, and it is known as the Plump Mouse Pokémon."
binacle,./gifs/clear/binacle.gif,./gifs/blacked/binacle.gif,"Binacle is the 21st Pokémon in the Kalos Coastal Pokédex. It is a Rock/Water-Type, and is known as the Two-Handed Pokémon."
bisharp,./gifs/clear/bisharp.gif,./gifs/blacked/bisharp.gif,"Bisharp is the 131st Pokémon in the Unova Pokédex. It is a Dark/Steel type, and it is known as the Sword Blade Pokémon."
blastoise-gigantamax,./gifs/clear/blastoise-gigantamax.gif,./gifs/blacked/blastoise-gigantamax.gif,"The main cannon on the center of Mega Blastoise's shell is staggeringly powerful. Legend says this cannon has blasted holes into mountains."
blastoise-mega,./gifs/clear/blastoise-mega.gif,./gifs/blacked/blastoise-mega.gif,"Mega Blastoise is the Mega Evolution of Blastoise via the use of a Mega Stone, officially unveiled during the Pokémon Direct on the 4th September, 2013."
blastoise,./gifs/clear/blastoise.gif,./gifs/blacked/blastoise.gif,"Blastoise is the ninth Pokémon in the Pokédex. It is a Water-Type, and it is known as the Shellfish Pokémon."
blaziken-mega,./gifs/clear/blaziken-mega.gif,./gifs/blacked/blaziken-mega.gif,Mega Blaziken is a Fire/Fighting-Type Mega Evolution that made its debut in Pokémon X and Y.
blaziken,./gifs/clear/blaziken.gif,./gifs/blacked/blaziken.gif,"Blaziken is the sixth Pokémon in the Hoenn Pokédex. It is a Fire/Fighting type, and is known as the Blaze Pokémon."
blipbug,./gifs/clear/blipbug.gif,./gifs/blacked/blipbug.gif,"Blipbug is the 10th Pokémon in the Galar Pokédex. It is a Bug-type, and is known as the Larva Pokémon."
blissey,./gifs/clear/blissey.gif,./gifs/blacked/blissey.gif,"Blissey is the 223rd Pokémon in the Johto Pokédex. It is a Normal-Type, and is known as the Happiness Pokémon."
blitzle,./gifs/clear/blitzle.gif,./gifs/blacked/blitzle.gif,"Blitzle is the 28th Pokémon in the Unova Pokédex. It is an Electric Type, and it is known as an Electrified Pokémon."
boldore,./gifs/clear/boldore.gif,./gifs/blacked/boldore.gif,"Boldore is the 31st Pokémon in the Unova Pokédex. It is a Rock type, and it is known as the Ore Pokémon."
boltund,./gifs/clear/boltund.gif,./gifs/blacked/boltund.gif,"Boltund is the 47th Pokémon in the Galar Pokédex. It is an Electric-type, and is known as the Dog Pokémon."
bonsly,./gifs/clear/bonsly.gif,./gifs/blacked/bonsly.gif,"Bonsly is the 92nd Pokémon in the Sinnoh Pokédex. It is a Rock-Type, and it is known as the Bonsai Pokémon."
bouffalant,./gifs/clear/bouffalant.gif,./gifs/blacked/bouffalant.gif,"Bouffalant is the 132nd Pokémon in the Unova Pokédex. It is a Normal type, and it is known as the Bash Buffalo Pokémon."
bounsweet,./gifs/clear/bounsweet.gif,./gifs/blacked/bounsweet.gif,"Bounsweet is the 171st Pokémon in the Alola Pokédex. It is a Grass type, and is known as the Fruit Pokémon."
braixen,./gifs/clear/braixen.gif,./gifs/blacked/braixen.gif,"Braixen is the fifth Pokémon in the Kalos Central Pokédex. It is a Fire-Type, and is known as the Fox Pokémon."
braviary,./gifs/clear/braviary.gif,./gifs/blacked/braviary.gif,"Braviary is the 134th Pokémon in the Unova Pokédex. It is a Normal/Flying-Type, and is known as the Valiant Pokémon."
breloom,./gifs/clear/breloom.gif,./gifs/blacked/breloom.gif,"Breloom is the 35th Pokémon in the Hoenn Pokédex. It is a Grass/Fighting Type, and it is known as the Mushroom Pokémon."
brionne,./gifs/clear/brionne.gif,./gifs/blacked/brionne.gif,"Brionne is the 8th Pokémon in the Alola Pokédex. It is a Water type, and is known as the Pop Star Pokémon."
bronzong,./gifs/clear/bronzong.gif,./gifs/blacked/bronzong.gif,"Bronzong is the 89th Pokémon in the Sinnoh Pokédex. It is a Steel/Psychic Type, and it is known as the Bronze Bell Pokémon."
bronzor,./gifs/clear/bronzor.gif,./gifs/blacked/bronzor.gif,"Bronzor is the 88th Pokémon in the Sinnoh Pokédex. It is a Steel/Psychic type, and is known as the Bronze Pokémon."
bruxish,./gifs/clear/bruxish.gif,./gifs/blacked/bruxish.gif,"Bruxish is the 243rd Pokémon in the Alola Pokédex. It is a Water/Psychic type, and is known as the Gnash Teeth Pokémon."
budew,./gifs/clear/budew.gif,./gifs/blacked/budew.gif,"Budew is the 26th Pokémon in the Sinnoh Pokédex. It is a Grass/Poison Type, and is known as the Bud Pokémon."
buizel,./gifs/clear/buizel.gif,./gifs/blacked/buizel.gif,"Buizel is the 56th Pokémon in the Sinnoh Pokédex. It is a Water-Type, and is known as the Sea Weasel Pokémon."
bulbasaur,./gifs/clear/bulbasaur.gif,./gifs/blacked/bulbasaur.gif,"Bulbasaur is the first Pokémon in the Pokédex. It is a Dual Grass/Poison Type, and it is known as the Seed Pokémon."
buneary,./gifs/clear/buneary.gif,./gifs/blacked/buneary.gif,"Buneary is the 67th Pokémon in the Sinnoh Pokédex. It is a Normal Type, and it is known as the Rabbit Pokémon."
bunnelby,./gifs/clear/bunnelby.gif,./gifs/blacked/bunnelby.gif,"Bunnelby is the 10th Pokémon in the Kalos Central Pokédex. It is a Normal-Type, and is known as the Digging Pokémon."
burmy,./gifs/clear/burmy.gif,./gifs/blacked/burmy.gif,"Burmy is the 45th Pokémon in the Sinnoh Pokédex. It is a Bug-Type, and it is known as the Bagworm Pokémon."
butterfree-gigantamax,./gifs/clear/butterfree-gigantamax.gif,./gifs/blacked/butterfree-gigantamax.gif,"All Bug-type attacks used by a Gigantamax Butterfree automatically change into G-Max Befuddle. This Bug-type attack damages the opponents and causes them all to become paralyzed, poisoned, or asleep."
butterfree,./gifs/clear/butterfree.gif,./gifs/blacked/butterfree.gif,"Butterfree is the 12th Pokémon in the Pokédex. It is a Bug/Flying Type, and is known as the Butterfly Pokémon."
buzzwole,./gifs/clear/buzzwole.gif,./gifs/blacked/buzzwole.gif,"Buzzwole , code named UB-02 Absorption, is the 294th Pokémon in the Alola Pokédex. It is a Bug/Fighting type, and is known as the Swollen Pokémon. It is classified as an Ultra Beast."
cacnea,./gifs/clear/cacnea.gif,./gifs/blacked/cacnea.gif,"Cacnea is the 119th Pokémon in the Hoenn Pokédex. It is a Grass-Type, and it is known as the Cactus Pokémon."
cacturne,./gifs/clear/cacturne.gif,./gifs/blacked/cacturne.gif,"Cacturne is the 120th Pokémon in the Hoenn Pokédex. It is a Grass/Dark-Type, and it is known as the Scarecrow Pokémon."
camerupt,./gifs/clear/camerupt.gif,./gifs/blacked/camerupt.gif,"Camerupt is the 102nd Pokémon in the Hoenn Pokédex. It is a Fire/Ground Type, and is known as the Eruption Pokémon."
carbink,./gifs/clear/carbink.gif,./gifs/blacked/carbink.gif,"Carbink is the 124th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Fairy-Type, and is known as the Jewel Pokémon."
carkol,./gifs/clear/carkol.gif,./gifs/blacked/carkol.gif,"Carkol is the 162nd Pokémon in the Galar Pokédex. It is a Rock/Fire-type, and is known as the Coal Pokémon."
carnivine,./gifs/clear/carnivine.gif,./gifs/blacked/carnivine.gif,"Carnivine is the 131st Pokémon in the Sinnoh Pokédex. It is a Grass-Type, and is known as the Bug Catcher Pokémon."
carracosta,./gifs/clear/carracosta.gif,./gifs/blacked/carracosta.gif,"Carrracosta is the 71st Pokémon in the Unova Pokédex. It is a Water/Rock Type, and it is known as Prototurtle Pokémon."
carvanha,./gifs/clear/carvanha.gif,./gifs/blacked/carvanha.gif,"Carvanha is the 97th Pokémon in the Hoenn Pokédex. It is a Water/Dark Type, and is known as the Savage Pokémon."
cascoon,./gifs/clear/cascoon.gif,./gifs/blacked/cascoon.gif,"Cascoon is the 17th Pokémon in the Hoenn Pokédex. It is a Bug Type, and is classified as a Cocoon Pokémon."
castform,./gifs/clear/castform.gif,./gifs/blacked/castform.gif,"Castform is the 142nd Pokémon in the Hoenn Pokédex. It is a Normal type, and is known as the Forecast Pokémon."
caterpie,./gifs/clear/caterpie.gif,./gifs/blacked/caterpie.gif,"Caterpie is the 10th Pokémon in the Pokédex. It is a Bug-Type, and it is known as the Worm Pokémon."
celesteela,./gifs/clear/celesteela.gif,./gifs/blacked/celesteela.gif,"Celesteela , code named UB-04 Blaster, is the 297th Pokémon in the Alola Pokédex. It is a Steel/Flying type, and is known as the Launch Pokémon. It is classified as an Ultra Beast."
centiskorch-gigantamax,./gifs/clear/centiskorch-gigantamax.gif,./gifs/blacked/centiskorch-gigantamax.gif,"Gigantamax energy has evoked a rise in its body temperature, now reaching over 1,800 degrees Fahrenheit. Its heat waves incinerate its enemies."
centiskorch,./gifs/clear/centiskorch.gif,./gifs/blacked/centiskorch.gif,"Centiskorch is the 160th Pokémon in the Galar Pokédex. It is a Fire/Bug-type, and is known as the Radiator Pokémon."
chandelure,./gifs/clear/chandelure.gif,./gifs/blacked/chandelure.gif,"Chandelure is the 115th Pokémon in the Unova Pokédex. It is a Ghost/Fire Type, and it is known as the Luring Pokémon."
chansey,./gifs/clear/chansey.gif,./gifs/blacked/chansey.gif,"Chansey is the 113th Pokémon in the Pokédex. It is a Normal-Type, and is known as the Egg Pokémon."
charizard-gigantamax,./gifs/clear/charizard-gigantamax.gif,./gifs/blacked/charizard-gigantamax.gif,"All Fire-type attacks used by a Gigantamax Charizard automatically change into G-Max Wildfire. This Fire-type attack doesn't do damage on a hit, but damages all Pokemon that aren't a Fire type over time for four turns."
charizard-megax,./gifs/clear/charizard-megax.gif,./gifs/blacked/charizard-megax.gif,"Mega Charizard X is a Mega Evolution of Charizard that evolves via the use of a Mega Stone, It is a Fire/Dragon-Type."
charizard-megay,./gifs/clear/charizard-megay.gif,./gifs/blacked/charizard-megay.gif,"Mega Charizard Y is the Mega Evolution of Charizard and that evolves via the use of a Mega Stone, Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
charizard,./gifs/clear/charizard.gif,./gifs/blacked/charizard.gif,"Charizard is the sixth Pokémon in the Pokédex. It is a Fire/Flying Type, and is known as the Flame Pokémon."
charjabug,./gifs/clear/charjabug.gif,./gifs/blacked/charjabug.gif,"Charjabug is the 28th Pokémon in the Alola Pokédex. It is a Bug/Electric type, and is known as the Battery Pokémon."
charmander,./gifs/clear/charmander.gif,./gifs/blacked/charmander.gif,"Charmander is the fourth Pokémon in the Pokédex. It is a Fire Type, and it is known as the Lizard Pokémon."
charmeleon,./gifs/clear/charmeleon.gif,./gifs/blacked/charmeleon.gif,"Charmeleon is the fifth Pokémon in the Pokédex. It is a Fire-Type, and it is known as the Flame Pokémon."
chatot,./gifs/clear/chatot.gif,./gifs/blacked/chatot.gif,"Chatot is the 102nd Pokémon in the Sinnoh Pokédex. It is a Normal/Flying-Type, and it is known as the Music Note Pokémon."
cherrim,./gifs/clear/cherrim.gif,./gifs/blacked/cherrim.gif,"Cherrim is the 59th Pokémon in the Sinnoh Pokédex. It is a Grass-Type, and is known as the Blossom Pokémon."
cherubi,./gifs/clear/cherubi.gif,./gifs/blacked/cherubi.gif,"Cherubi is the 58th Pokémon in the Sinnoh Pokédex. It is a Grass-Type, and is known as the Cherry Pokémon."
chesnaught,./gifs/clear/chesnaught.gif,./gifs/blacked/chesnaught.gif,Chesnaught is the third Pokémon in the Kalos Central Pokédex. It is a Grass/Fighting-Type and is known as the Spiny Armor Pokémon.
chespin,./gifs/clear/chespin.gif,./gifs/blacked/chespin.gif,"Chespin is the first Pokémon in the Kalos Central Pokédex. It is a Grass-Type, and is known as the Shelled Chestnut Pokémon."
chewtle,./gifs/clear/chewtle.gif,./gifs/blacked/chewtle.gif,"Chewtle is the 42nd Pokémon in the Galar Pokédex. It is a Water-type, and is known as the Snapping Pokémon."
chikorita,./gifs/clear/chikorita.gif,./gifs/blacked/chikorita.gif,"Chikorita is the first Pokémon in the Johto Pokédex, and the 152nd in the National Dex. It is a Grass Type, and it is known as the Leaf Pokémon."
chimchar,./gifs/clear/chimchar.gif,./gifs/blacked/chimchar.gif,"Chimchar is the fourth Pokémon in the Sinnoh Pokédex. It is a Fire Type, and it is known as the Chimp Pokémon."
chimecho,./gifs/clear/chimecho.gif,./gifs/blacked/chimecho.gif,"Chimecho is the 151st Pokémon in the Hoenn Pokédex. It is a Psychic type, and is known as the Wind Chime Pokémon."
chinchou,./gifs/clear/chinchou.gif,./gifs/blacked/chinchou.gif,"Chinchou is the 174th Pokémon in the Johto Pokédex. It is a Water/Electric Type, and it is known as the Angler Pokémon."
chingling,./gifs/clear/chingling.gif,./gifs/blacked/chingling.gif,"Chingling is the 82nd Pokémon in the Sinnoh Pokédex. It is a Psychic type, and is known as the Bell Pokémon."
cinccino,./gifs/clear/cinccino.gif,./gifs/blacked/cinccino.gif,"Cinccino is the 79th Pokémon in the Unova Pokédex. It is a Normal Type, and it is known as the Scarf Pokémon."
cinderace-gigantamax,./gifs/clear/cinderace-gigantamax.gif,./gifs/blacked/cinderace-gigantamax.gif,"Your starter will gain a Gigantamax form through an event in the first Pokemon Sword and Shield expansions, The Isle of Armor. Where or when this is done is currently unknown."
cinderace,./gifs/clear/cinderace.gif,./gifs/blacked/cinderace.gif,"Cinderace is the 6th Pokémon in the Galar Pokédex. It is a Fire-type, and is known as the Striker Pokémon."
clamperl,./gifs/clear/clamperl.gif,./gifs/blacked/clamperl.gif,"Clamperl is the 176th Pokémon in the Hoenn Pokédex. It is a Water type, and is known as the Bivalve Pokémon."
clauncher,./gifs/clear/clauncher.gif,./gifs/blacked/clauncher.gif,"Clauncher is the 32nd Pokémon in the Kalos Coastal Pokédex. It is a Water-Type, and is known as the Water Gun Pokémon."
clawitzer,./gifs/clear/clawitzer.gif,./gifs/blacked/clawitzer.gif,"Clawitzer is the 33rd Pokémon in the Kalos Coastal Pokédex. It is a Water-Type, and is known as the Howitzer Pokémon."
claydol,./gifs/clear/claydol.gif,./gifs/blacked/claydol.gif,"Claydol is the 132nd Pokémon in the Hoenn Pokédex. It is a Ground/Psychic-Type, and it is known as the Clay Doll Pokémon."
clefable,./gifs/clear/clefable.gif,./gifs/blacked/clefable.gif,"Clefable is the 36th Pokémon in the Pokédex. It is a Fairy-Type, formerly Normal-Type, and is known as the Fairy Pokémon."
clefairy,./gifs/clear/clefairy.gif,./gifs/blacked/clefairy.gif,"Clefairy is the 35th Pokémon in the Pokédex. It is a Fairy-Type, formerly Normal-Type, and is known as the Fairy Pokémon."
