name,pokedex_num,clear_path,blacked_path,description,tier,generation
alcremie,869.0,./gifs/clear/alcremie.gif,./gifs/blacked/alcremie.gif,"Alcremie is the 185th Pokémon in the Galar Pokédex. It is a Fairy-type, and is known as the Cream Pokémon.",0.0,
alomomola,594.0,./gifs/clear/alomomola.gif,./gifs/blacked/alomomola.gif,"Alomomola is the 100th Pokémon in the Unova Pokédex. It is a Water-Type, and it is known as the Caring Pokémon.",0.0,unova
altaria,334.0,./gifs/clear/altaria.gif,./gifs/blacked/altaria.gif,"Altaria is the 122nd Pokémon in the Hoenn Pokédex. It is a Dragon/Flying-Type, and it is known as the Humming Pokémon.",0.0,hoenn
amaura,698.0,./gifs/clear/amaura.gif,./gifs/blacked/amaura.gif,"Amaura is the 66th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Ice-Type, and is known as the Tundra Pokémon.",0.0,kalos
ambipom,424.0,./gifs/clear/ambipom.gif,./gifs/blacked/ambipom.gif,"Ambipom is the 64th Pokémon in the Sinnoh Pokédex. It is a Normal-Type, and is known as the Long Tail Pokémon.",0.0,
amoonguss,591.0,./gifs/clear/amoonguss.gif,./gifs/blacked/amoonguss.gif,"Amoonguss is the 97th Pokémon in the Unova Pokédex. It is a Grass/Poison Type, and it is known as the Mushroom Pokémon.",0.0,unova
ampharos-mega,,./gifs/clear/ampharos-mega.gif,./gifs/blacked/ampharos-mega.gif,"Mega Ampharos is the Mega Evolution of Ampharos, activated by using the Mega Stone, first revealed in the August 2013 edition of CoroCoro. It is an Electric/Dragon-Type, and is known as the Light Pokémon.",0.0,mega
ampharos,181.0,./gifs/clear/ampharos.gif,./gifs/blacked/ampharos.gif,"Ampharos is the 55th Pokémon in the Johto Pokédex. It is an Electric-Type, and it is known as the Light Pokémon.",0.0,johto
anorith,347.0,./gifs/clear/anorith.gif,./gifs/blacked/anorith.gif,"Anorith is the 135th Pokémon in the Hoenn Pokédex. It is a Rock/Bug type, and is known as the Old Shrimp Pokémon.",0.0,hoenn
appletun-gigantamax,,./gifs/clear/appletun-gigantamax.gif,./gifs/blacked/appletun-gigantamax.gif,"Due to Gigantamax energy, this Pokémon's nectar has thickened. The increased viscosity lets the nectar absorb more damage than before.",0.0,gmax
appletun,842.0,./gifs/clear/appletun.gif,./gifs/blacked/appletun.gif,"Appletun is the 207th Pokémon in the Galar Pokédex. It is a Grass/Dragon-type, and is known as the Apple Nectar Pokémon.",0.0,
applin,840.0,./gifs/clear/applin.gif,./gifs/blacked/applin.gif,"Applin is the 205th Pokémon in the Galar Pokédex. It is a Grass/Dragon-type, and is known as the Apple Core Pokémon.",0.0,
araquanid,752.0,./gifs/clear/araquanid.gif,./gifs/blacked/araquanid.gif,"Araquanid is the 142nd Pokémon in the Alola Pokédex. It is a Water/Bug type, and is known as the Water Bubble Pokémon.",0.0,alola
arbok,24.0,./gifs/clear/arbok.gif,./gifs/blacked/arbok.gif,"Arbok is the 24th Pokémon in the Pokédex. It is a Poison Type, and is known as the Cobra Pokémon.",0.0,kanto
arcanine,59.0,./gifs/clear/arcanine.gif,./gifs/blacked/arcanine.gif,"Arcanine is the 59th Pokémon in the Pokédex. It is a Fire-Type, and is known as the Legendary Pokémon.",0.0,kanto
arceus,493.0,./gifs/clear/arceus.gif,./gifs/blacked/arceus.gif,"Arceus is the 493rd Pokémon in the Pokédex. It can potentially be any of the 18 known types of Pokémon, and it is known as the Alpha Pokémon.",0.0,
archen,566.0,./gifs/clear/archen.gif,./gifs/blacked/archen.gif,"Archen is the 72nd Pokémon in the Unova Pokédex. It is a Rock/Flying-Type, and it is known as the First Bird Pokémon.",0.0,unova
archeops,567.0,./gifs/clear/archeops.gif,./gifs/blacked/archeops.gif,"Archeops is the 73rd Pokémon in the Unova Pokédex. It is a Rock/Flying Type, and it is known as the First Bird Pokémon.",0.0,unova
arctovish,883.0,./gifs/clear/arctovish.gif,./gifs/blacked/arctovish.gif,Arctovish is a Water/Ice type Pokémon introduced in Generation 8. It is known as the Fossil Pokémon.,0.0,
arctozolt,881.0,./gifs/clear/arctozolt.gif,./gifs/blacked/arctozolt.gif,Arctozolt is an Electric/Ice type Pokémon introduced in Generation 8. The shaking of its freezing upper half is what generates its electricity.,0.0,
ariados,168.0,./gifs/clear/ariados.gif,./gifs/blacked/ariados.gif,"Ariados is the 33rd Pokémon in the Johto Pokédex. It is a Bug/Poison type, and is known as the Long Leg Pokémon.",0.0,johto
armaldo,348.0,./gifs/clear/armaldo.gif,./gifs/blacked/armaldo.gif,"Armaldo is the 136th Pokémon in the Hoenn Pokédex. It is a Rock/Bug type, and is known as the Plate Pokémon.",0.0,hoenn
aromatisse,683.0,./gifs/clear/aromatisse.gif,./gifs/blacked/aromatisse.gif,"Aromatisse is the 130th Pokémon in the Kalos Central Pokédex. It is a Fairy-Type, and is known as the Fragrance Pokémon.",0.0,kalos
aron,304.0,./gifs/clear/aron.gif,./gifs/blacked/aron.gif,"Aron is the 70th Pokémon in the Hoenn Pokédex. It is a Steel/Rock Type, and it is known as the Iron Armor Pokémon.",0.0,hoenn
arrokuda,846.0,./gifs/clear/arrokuda.gif,./gifs/blacked/arrokuda.gif,"Arrokuda is the 180th Pokémon in the Galar Pokédex. It is a Water-type, and is known as the Rush Pokémon.",0.0,
articuno,144.0,./gifs/clear/articuno.gif,./gifs/blacked/articuno.gif,"Articuno is an Ice/Flying-type legendary introduced in the Red and Blue versions. Articuno is one of the three legendary birds along with Zapdos and Moltres, the original legendary trio",0.0,kanto
audino-mega,,./gifs/clear/audino-mega.gif,./gifs/blacked/audino-mega.gif,"Mega Audino, the Mega Evolution of Audino activated by using Mega Stone, was revealed by the official Korean Pokémon website, alongside Mega Slowbro. It gains Fairy-typing on top of Normal-type upon evolution.",0.0,mega
audino,531.0,./gifs/clear/audino.gif,./gifs/blacked/audino.gif,"Audino is the 37th Pokémon in the Unova Pokédex. It is a Normal Type, and it is known as the Healing Pokémon.",0.0,unova
aurorus,699.0,./gifs/clear/aurorus.gif,./gifs/blacked/aurorus.gif,"Aurorus is the 67th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Ice-Type, and is known as the Tundra Pokémon.",0.0,kalos
avalugg,713.0,./gifs/clear/avalugg.gif,./gifs/blacked/avalugg.gif,"Avalugg is the 80th Pokémon in the Kalos Mountain Pokédex. It is an Ice-Type, and it is known as the Iceberg Pokémon.",0.0,kalos
axew,610.0,./gifs/clear/axew.gif,./gifs/blacked/axew.gif,"Axew is the 116th Pokemon in the Unova Pokédex. It is a Dragon-Type, and it is known as the Tusk Pokémon.",0.0,unova
azelf,482.0,./gifs/clear/azelf.gif,./gifs/blacked/azelf.gif,"Azelf is the 148th Pokémon in the Sinnoh Pokédex. It is a Psychic-Type, and is known as the Willpower Pokémon.",0.0,
azumarill,184.0,./gifs/clear/azumarill.gif,./gifs/blacked/azumarill.gif,"Azumarill is the 133rd Pokémon in the Johto Pokédex. It is a dual Water/Fairy-Type, and it is known as the Aquarabbit Pokémon. Prior to Generation VI it was a pure Water type Pokémon.",0.0,johto
azurill,298.0,./gifs/clear/azurill.gif,./gifs/blacked/azurill.gif,"Azurill is the 54th Pokémon in the Hoenn Pokédex. It is a dual Normal/Fairy-Type, and it is known as the Polka Dot Pokémon. Prior to Generation VI it was a pure Normal type Pokémon.",0.0,hoenn
bagon,371.0,./gifs/clear/bagon.gif,./gifs/blacked/bagon.gif,"Bagon is the 187th Pokémon in the Hoenn Pokédex. It is a Dragon type, and is known as the Rock Head Pokémon.",0.0,hoenn
baltoy,343.0,./gifs/clear/baltoy.gif,./gifs/blacked/baltoy.gif,"Baltoy is the 131st Pokémon in the Hoenn Pokédex. It is a Ground/Psychic-Type, and it is known as the Clay Doll Pokémon.",0.0,hoenn
banette-mega,,./gifs/clear/banette-mega.gif,./gifs/blacked/banette-mega.gif,"Mega Banette is the Mega Evolution of Banette via the use of a Banettite. It is a Ghost-Type, and is known as the Marionette Pokémon. Mega Banette uses the Prankster Ability, which gives priority to status-inducing moves.",0.0,mega
banette,354.0,./gifs/clear/banette.gif,./gifs/blacked/banette.gif,"Banette is the 147th Pokémon in the Hoenn Pokédex. It is a Ghost type, and is known as the Marionette Pokémon.",0.0,hoenn
barbaracle,689.0,./gifs/clear/barbaracle.gif,./gifs/blacked/barbaracle.gif,"Barbaracle is the 22nd Pokémon in the Kalos Coastal Pokédex. It is a Rock/Water-Type, and is known as the Collective Pokémon.",0.0,kalos
barboach,339.0,./gifs/clear/barboach.gif,./gifs/blacked/barboach.gif,"Barboach is the 127th Pokémon in the Hoenn Pokédex. It is a Water/Ground-Type, and it is known as the Whiskers Pokémon.",0.0,hoenn
barraskewda,847.0,./gifs/clear/barraskewda.gif,./gifs/blacked/barraskewda.gif,"Barraskewda is the 181st Pokémon in the Galar Pokédex. It is a Water-type, and is known as the Skewer Pokémon.",0.0,
basculin,550.0,./gifs/clear/basculin.gif,./gifs/blacked/basculin.gif,"Basculin is the 56th Pokémon in the Unova Pokédex. It is a Water Type, and it is known as the Hostile Pokémon.",0.0,unova
bastiodon,411.0,./gifs/clear/bastiodon.gif,./gifs/blacked/bastiodon.gif,"Bastiodon is the 39th Pokémon in the Sinnoh Pokédex. It is a Rock/Steel Type, and it is known as the Shield Pokémon.",0.0,
bayleef,153.0,./gifs/clear/bayleef.gif,./gifs/blacked/bayleef.gif,"Bayleef, the Leaf Pokémon, is the second stage in the evolutionary chain of the Generation II Grass type starter, Chikorita. It is the second Pokémon in the Johto Pokédex.",0.0,johto
beartic,614.0,./gifs/clear/beartic.gif,./gifs/blacked/beartic.gif,"Beartic is the 120th Pokémon in the Unova Pokédex. It is an Ice-Type, and it is known as the Freezing Pokémon.",0.0,unova
beautifly,267.0,./gifs/clear/beautifly.gif,./gifs/blacked/beautifly.gif,"Beautifly is the 16th Pokémon in the Hoenn Pokédex. It is a Bug/Flying Type, and is classified as a Butterfly Pokémon.",0.0,hoenn
beedrill,15.0,./gifs/clear/beedrill.gif,./gifs/blacked/beedrill.gif,"Beedrill is the 15th Pokémon in the Pokédex. It is a Bug/Poison type, and is known as the Poison Bee Pokémon.",0.0,kanto
beheeyem,606.0,./gifs/clear/beheeyem.gif,./gifs/blacked/beheeyem.gif,"Beheeyem is the 112th Pokémon in the Unova Pokédex. It is a Psychic Type, and it is known as the Brain Pokémon.",0.0,unova
beldum,374.0,./gifs/clear/beldum.gif,./gifs/blacked/beldum.gif,"Beldum is the 190th Pokémon in the Hoenn Pokédex. It is a Steel/Psychic Type, and it is known as the Iron Ball Pokémon.",0.0,hoenn
bellossom,182.0,./gifs/clear/bellossom.gif,./gifs/blacked/bellossom.gif,"Bellossom is the 86th Pokémon in the Johto Pokédex. It is a Grass-Type, and is known as the Flower Pokémon.",0.0,johto
bellsprout,69.0,./gifs/clear/bellsprout.gif,./gifs/blacked/bellsprout.gif,"Bellsprout is the 69th Pokémon in the Pokédex. It is a Grass/Poison-Type, and is known as the Flower Pokémon.",0.0,kanto
bergmite,712.0,./gifs/clear/bergmite.gif,./gifs/blacked/bergmite.gif,"Bergmite is the 79th Pokémon in the Kalos Mountain Pokédex. It is an Ice-Type, and it is known as the Ice Chunk Pokémon.",0.0,kalos
bewear,760.0,./gifs/clear/bewear.gif,./gifs/blacked/bewear.gif,"Bewear is the 170th Pokémon in the Alola Pokédex. It is a Normal/Fighting type, and is known as the Strong Arm Pokémon.",0.0,alola
bibarel,400.0,./gifs/clear/bibarel.gif,./gifs/blacked/bibarel.gif,"Bibarel is the 14th Pokémon in the Sinnoh Pokédex. It is a Normal/Water Type, and it is known as the Beaver Pokémon.",0.0,
bidoof,399.0,./gifs/clear/bidoof.gif,./gifs/blacked/bidoof.gif,"Bidoof is the 13th Pokémon in the Sinnoh Pokédex. It is a Normal-Type, and it is known as the Plump Mouse Pokémon.",0.0,
binacle,688.0,./gifs/clear/binacle.gif,./gifs/blacked/binacle.gif,"Binacle is the 21st Pokémon in the Kalos Coastal Pokédex. It is a Rock/Water-Type, and is known as the Two-Handed Pokémon.",0.0,kalos
bisharp,625.0,./gifs/clear/bisharp.gif,./gifs/blacked/bisharp.gif,"Bisharp is the 131st Pokémon in the Unova Pokédex. It is a Dark/Steel type, and it is known as the Sword Blade Pokémon.",0.0,unova
blastoise-gigantamax,,./gifs/clear/blastoise-gigantamax.gif,./gifs/blacked/blastoise-gigantamax.gif,"Gigantamax Blastoise can adapt to different situations by using different combinations of its 31 variously sized cannons. In battle, it doesn’t bother to aim. Instead, it fires dynamic, powerful torrents from multiple cannons to overwhelm opponents.",0.0,gmax
blastoise-mega,,./gifs/clear/blastoise-mega.gif,./gifs/blacked/blastoise-mega.gif,"Mega Blastoise is the Mega Evolution of Blastoise via the use of a Mega Stone, officially unveiled during the Pokémon Direct on the 4th September, 2013.",0.0,mega
blastoise,9.0,./gifs/clear/blastoise.gif,./gifs/blacked/blastoise.gif,"Blastoise is the ninth Pokémon in the Pokédex. It is a Water-Type, and it is known as the Shellfish Pokémon.",0.0,kanto
blaziken-mega,,./gifs/clear/blaziken-mega.gif,./gifs/blacked/blaziken-mega.gif,Mega Blaziken is a Fire/Fighting-Type Mega Evolution that made its debut in Pokémon X and Y.,0.0,mega
blaziken,257.0,./gifs/clear/blaziken.gif,./gifs/blacked/blaziken.gif,"Blaziken is the sixth Pokémon in the Hoenn Pokédex. It is a Fire/Fighting type, and is known as the Blaze Pokémon.",0.0,hoenn
blipbug,824.0,./gifs/clear/blipbug.gif,./gifs/blacked/blipbug.gif,"Blipbug is the 10th Pokémon in the Galar Pokédex. It is a Bug-type, and is known as the Larva Pokémon.",0.0,
blissey,242.0,./gifs/clear/blissey.gif,./gifs/blacked/blissey.gif,"Blissey is the 223rd Pokémon in the Johto Pokédex. It is a Normal-Type, and is known as the Happiness Pokémon.",0.0,johto
blitzle,522.0,./gifs/clear/blitzle.gif,./gifs/blacked/blitzle.gif,"Blitzle is the 28th Pokémon in the Unova Pokédex. It is an Electric Type, and it is known as an Electrified Pokémon.",0.0,unova
boldore,525.0,./gifs/clear/boldore.gif,./gifs/blacked/boldore.gif,"Boldore is the 31st Pokémon in the Unova Pokédex. It is a Rock type, and it is known as the Ore Pokémon.",0.0,unova
boltund,836.0,./gifs/clear/boltund.gif,./gifs/blacked/boltund.gif,"Boltund is the 47th Pokémon in the Galar Pokédex. It is an Electric-type, and is known as the Dog Pokémon.",0.0,
bonsly,438.0,./gifs/clear/bonsly.gif,./gifs/blacked/bonsly.gif,"Bonsly is the 92nd Pokémon in the Sinnoh Pokédex. It is a Rock-Type, and it is known as the Bonsai Pokémon.",0.0,
bouffalant,626.0,./gifs/clear/bouffalant.gif,./gifs/blacked/bouffalant.gif,"Bouffalant is the 132nd Pokémon in the Unova Pokédex. It is a Normal type, and it is known as the Bash Buffalo Pokémon.",0.0,unova
bounsweet,761.0,./gifs/clear/bounsweet.gif,./gifs/blacked/bounsweet.gif,"Bounsweet is the 171st Pokémon in the Alola Pokédex. It is a Grass type, and is known as the Fruit Pokémon.",0.0,alola
braixen,654.0,./gifs/clear/braixen.gif,./gifs/blacked/braixen.gif,"Braixen is the fifth Pokémon in the Kalos Central Pokédex. It is a Fire-Type, and is known as the Fox Pokémon.",0.0,kalos
braviary,628.0,./gifs/clear/braviary.gif,./gifs/blacked/braviary.gif,"Braviary is the 134th Pokémon in the Unova Pokédex. It is a Normal/Flying-Type, and is known as the Valiant Pokémon.",0.0,unova
breloom,286.0,./gifs/clear/breloom.gif,./gifs/blacked/breloom.gif,"Breloom is the 35th Pokémon in the Hoenn Pokédex. It is a Grass/Fighting Type, and it is known as the Mushroom Pokémon.",0.0,hoenn
brionne,729.0,./gifs/clear/brionne.gif,./gifs/blacked/brionne.gif,"Brionne is the 8th Pokémon in the Alola Pokédex. It is a Water type, and is known as the Pop Star Pokémon.",0.0,alola
bronzong,437.0,./gifs/clear/bronzong.gif,./gifs/blacked/bronzong.gif,"Bronzong is the 89th Pokémon in the Sinnoh Pokédex. It is a Steel/Psychic Type, and it is known as the Bronze Bell Pokémon.",0.0,
bronzor,436.0,./gifs/clear/bronzor.gif,./gifs/blacked/bronzor.gif,"Bronzor is the 88th Pokémon in the Sinnoh Pokédex. It is a Steel/Psychic type, and is known as the Bronze Pokémon.",0.0,
bruxish,779.0,./gifs/clear/bruxish.gif,./gifs/blacked/bruxish.gif,"Bruxish is the 243rd Pokémon in the Alola Pokédex. It is a Water/Psychic type, and is known as the Gnash Teeth Pokémon.",0.0,alola
budew,406.0,./gifs/clear/budew.gif,./gifs/blacked/budew.gif,"Budew is the 26th Pokémon in the Sinnoh Pokédex. It is a Grass/Poison Type, and is known as the Bud Pokémon.",0.0,
buizel,418.0,./gifs/clear/buizel.gif,./gifs/blacked/buizel.gif,"Buizel is the 56th Pokémon in the Sinnoh Pokédex. It is a Water-Type, and is known as the Sea Weasel Pokémon.",0.0,
bulbasaur,1.0,./gifs/clear/bulbasaur.gif,./gifs/blacked/bulbasaur.gif,"Bulbasaur is the first Pokémon in the Pokédex. It is a Dual Grass/Poison Type, and it is known as the Seed Pokémon.",0.0,kanto
buneary,427.0,./gifs/clear/buneary.gif,./gifs/blacked/buneary.gif,"Buneary is the 67th Pokémon in the Sinnoh Pokédex. It is a Normal Type, and it is known as the Rabbit Pokémon.",0.0,
bunnelby,659.0,./gifs/clear/bunnelby.gif,./gifs/blacked/bunnelby.gif,"Bunnelby is the 10th Pokémon in the Kalos Central Pokédex. It is a Normal-Type, and is known as the Digging Pokémon.",0.0,kalos
burmy,412.0,./gifs/clear/burmy.gif,./gifs/blacked/burmy.gif,"Burmy is the 45th Pokémon in the Sinnoh Pokédex. It is a Bug-Type, and it is known as the Bagworm Pokémon.",0.0,
butterfree-gigantamax,,./gifs/clear/butterfree-gigantamax.gif,./gifs/blacked/butterfree-gigantamax.gif,"All Bug-type attacks used by a Gigantamax Butterfree automatically change into G-Max Befuddle. This Bug-type attack damages the opponents and causes them all to become paralyzed, poisoned, or asleep.",0.0,gmax
butterfree,12.0,./gifs/clear/butterfree.gif,./gifs/blacked/butterfree.gif,"Butterfree is the 12th Pokémon in the Pokédex. It is a Bug/Flying Type, and is known as the Butterfly Pokémon.",0.0,kanto
buzzwole,794.0,./gifs/clear/buzzwole.gif,./gifs/blacked/buzzwole.gif,"Buzzwole , code named UB-02 Absorption, is the 294th Pokémon in the Alola Pokédex. It is a Bug/Fighting type, and is known as the Swollen Pokémon. It is classified as an Ultra Beast.",0.0,alola
cacnea,331.0,./gifs/clear/cacnea.gif,./gifs/blacked/cacnea.gif,"Cacnea is the 119th Pokémon in the Hoenn Pokédex. It is a Grass-Type, and it is known as the Cactus Pokémon.",0.0,hoenn
cacturne,332.0,./gifs/clear/cacturne.gif,./gifs/blacked/cacturne.gif,"Cacturne is the 120th Pokémon in the Hoenn Pokédex. It is a Grass/Dark-Type, and it is known as the Scarecrow Pokémon.",0.0,hoenn
camerupt,323.0,./gifs/clear/camerupt.gif,./gifs/blacked/camerupt.gif,"Camerupt is the 102nd Pokémon in the Hoenn Pokédex. It is a Fire/Ground Type, and is known as the Eruption Pokémon.",0.0,hoenn
carbink,703.0,./gifs/clear/carbink.gif,./gifs/blacked/carbink.gif,"Carbink is the 124th Pokémon in the Kalos Coastal Pokédex. It is a Rock/Fairy-Type, and is known as the Jewel Pokémon.",0.0,kalos
carkol,838.0,./gifs/clear/carkol.gif,./gifs/blacked/carkol.gif,"Carkol is the 162nd Pokémon in the Galar Pokédex. It is a Rock/Fire-type, and is known as the Coal Pokémon.",0.0,
carnivine,455.0,./gifs/clear/carnivine.gif,./gifs/blacked/carnivine.gif,"Carnivine is the 131st Pokémon in the Sinnoh Pokédex. It is a Grass-Type, and is known as the Bug Catcher Pokémon.",0.0,
carracosta,565.0,./gifs/clear/carracosta.gif,./gifs/blacked/carracosta.gif,"Carrracosta is the 71st Pokémon in the Unova Pokédex. It is a Water/Rock Type, and it is known as Prototurtle Pokémon.",0.0,unova
carvanha,318.0,./gifs/clear/carvanha.gif,./gifs/blacked/carvanha.gif,"Carvanha is the 97th Pokémon in the Hoenn Pokédex. It is a Water/Dark Type, and is known as the Savage Pokémon.",0.0,hoenn
cascoon,268.0,./gifs/clear/cascoon.gif,./gifs/blacked/cascoon.gif,"Cascoon is the 17th Pokémon in the Hoenn Pokédex. It is a Bug Type, and is classified as a Cocoon Pokémon.",0.0,hoenn
castform,351.0,./gifs/clear/castform.gif,./gifs/blacked/castform.gif,"Castform is the 142nd Pokémon in the Hoenn Pokédex. It is a Normal type, and is known as the Forecast Pokémon.",0.0,hoenn
caterpie,10.0,./gifs/clear/caterpie.gif,./gifs/blacked/caterpie.gif,"Caterpie is the 10th Pokémon in the Pokédex. It is a Bug-Type, and it is known as the Worm Pokémon.",0.0,kanto
celesteela,797.0,./gifs/clear/celesteela.gif,./gifs/blacked/celesteela.gif,"Celesteela , code named UB-04 Blaster, is the 297th Pokémon in the Alola Pokédex. It is a Steel/Flying type, and is known as the Launch Pokémon. It is classified as an Ultra Beast.",0.0,alola
centiskorch-gigantamax,,./gifs/clear/centiskorch-gigantamax.gif,./gifs/blacked/centiskorch-gigantamax.gif,"Gigantamax energy has evoked a rise in its body temperature, now reaching over 1,800 degrees Fahrenheit. Its heat waves incinerate its enemies.",0.0,gmax
centiskorch,851.0,./gifs/clear/centiskorch.gif,./gifs/blacked/centiskorch.gif,"Centiskorch is the 160th Pokémon in the Galar Pokédex. It is a Fire/Bug-type, and is known as the Radiator Pokémon.",0.0,
chandelure,609.0,./gifs/clear/chandelure.gif,./gifs/blacked/chandelure.gif,"Chandelure is the 115th Pokémon in the Unova Pokédex. It is a Ghost/Fire Type, and it is known as the Luring Pokémon.",0.0,unova
chansey,113.0,./gifs/clear/chansey.gif,./gifs/blacked/chansey.gif,"Chansey is the 113th Pokémon in the Pokédex. It is a Normal-Type, and is known as the Egg Pokémon.",0.0,kanto
charizard-gigantamax,,./gifs/clear/charizard-gigantamax.gif,./gifs/blacked/charizard-gigantamax.gif,"All Fire-type attacks used by a Gigantamax Charizard automatically change into G-Max Wildfire. This Fire-type attack doesn't do damage on a hit, but damages all Pokemon that aren't a Fire type over time for four turns.",0.0,gmax
charizard-megax,,./gifs/clear/charizard-megax.gif,./gifs/blacked/charizard-megax.gif,"Mega Charizard X is a Mega Evolution of Charizard that evolves via the use of a Mega Stone, It is a Fire/Dragon-Type.",0.0,mega
charizard-megay,,./gifs/clear/charizard-megay.gif,./gifs/blacked/charizard-megay.gif,"Mega Charizard Y is the Mega Evolution of Charizard and that evolves via the use of a Mega Stone, Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",0.0,mega
charizard,6.0,./gifs/clear/charizard.gif,./gifs/blacked/charizard.gif,"Charizard is the sixth Pokémon in the Pokédex. It is a Fire/Flying Type, and is known as the Flame Pokémon.",0.0,kanto
charjabug,737.0,./gifs/clear/charjabug.gif,./gifs/blacked/charjabug.gif,"Charjabug is the 28th Pokémon in the Alola Pokédex. It is a Bug/Electric type, and is known as the Battery Pokémon.",0.0,alola
charmander,4.0,./gifs/clear/charmander.gif,./gifs/blacked/charmander.gif,"Charmander is the fourth Pokémon in the Pokédex. It is a Fire Type, and it is known as the Lizard Pokémon.",0.0,kanto
charmeleon,5.0,./gifs/clear/charmeleon.gif,./gifs/blacked/charmeleon.gif,"Charmeleon is the fifth Pokémon in the Pokédex. It is a Fire-Type, and it is known as the Flame Pokémon.",0.0,kanto
chatot,441.0,./gifs/clear/chatot.gif,./gifs/blacked/chatot.gif,"Chatot is the 102nd Pokémon in the Sinnoh Pokédex. It is a Normal/Flying-Type, and it is known as the Music Note Pokémon.",0.0,
cherrim,421.0,./gifs/clear/cherrim.gif,./gifs/blacked/cherrim.gif,"Cherrim is the 59th Pokémon in the Sinnoh Pokédex. It is a Grass-Type, and is known as the Blossom Pokémon.",0.0,
cherubi,420.0,./gifs/clear/cherubi.gif,./gifs/blacked/cherubi.gif,"Cherubi is the 58th Pokémon in the Sinnoh Pokédex. It is a Grass-Type, and is known as the Cherry Pokémon.",0.0,
chesnaught,652.0,./gifs/clear/chesnaught.gif,./gifs/blacked/chesnaught.gif,Chesnaught is the third Pokémon in the Kalos Central Pokédex. It is a Grass/Fighting-Type and is known as the Spiny Armor Pokémon.,0.0,kalos
chespin,650.0,./gifs/clear/chespin.gif,./gifs/blacked/chespin.gif,"Chespin is the first Pokémon in the Kalos Central Pokédex. It is a Grass-Type, and is known as the Shelled Chestnut Pokémon.",0.0,kalos
