,pindex,1,2,3,4,5
57,058,growlithe,Growlithe,ガーディ,Gādi,Gardie
58,059,arcanine,Arcanine,ウインディ,Uindi,Windie
59,060,poliwag,Poliwag,ニョロモ,Nyoromo,Nyoromo
60,061,poliwhirl,Poliwhirl,ニョロゾ,Nyorozo,Nyorozo
61,062,poliwrath,Poliwrath,ニョロボン,Nyorobon,Nyorobon
62,063,abra,Abra,ケーシィ,Kēshī,Casey*
63,064,kadabra,Kadabra,ユンゲラー,Yungerā,Yungerer*
64,065,alakazam,Alakazam,フーディン,Fūdin,Foodin
65,066,machop,Machop,ワンリキー,Wanrikī,Wanriky*
66,067,machoke,Machoke,ゴーリキー,Gōrikī,Goriky*
67,068,machamp,Machamp,カイリキー,Kairikī,Kairiky*
68,069,bellsprout,Bellsprout,マダツボミ,Madatsubomi,Madatsubomi
69,070,weepinbell,Weepinbell,ウツドン,Utsudon,Utsudon
70,071,victreebel,Victreebel,ウツボット,Utsubotto,Utsubot
71,072,tentacool,Tentacool,メノクラゲ,Menokurage,Menokurage
72,073,tentacruel,Tentacruel,ドククラゲ,Dokukurage,Dokukurage
73,074,geodude,Geodude,イシツブテ,Ishitsubute,Isitsubute*
74,075,graveler,Graveler,ゴローン,Gorōn,Golone
75,076,golem,Golem,ゴローニャ,Gorōnya,Golonya
76,077,ponyta,Ponyta,ポニータ,Ponīta,Ponyta
77,078,rapidash,Rapidash,ギャロップ,Gyaroppu,Gallop
78,079,slowpoke,Slowpoke,ヤドン,Yadon,Yadon
79,080,slowbro,Slowbro,ヤドラン,Yadoran,Yadoran
80,081,magnemite,Magnemite,コイル,Koiru,Coil
81,082,magneton,Magneton,レアコイル,Reakoiru,Rarecoil
82,083,farfetch'd,Farfetch'd,カモネギ,Kamonegi,Kamonegi
83,084,doduo,Doduo,ドードー,Dōdō,Dodo
84,085,dodrio,Dodrio,ドードリオ,Dōdorio,Dodorio
85,086,seel,Seel,パウワウ,Pauwau,Pawou*
86,087,dewgong,Dewgong,ジュゴン,Jugon,Jugon
87,088,grimer,Grimer,ベトベター,Betobetā,Betbeter*
88,089,muk,Muk,ベトベトン,Betobeton,Betbeton*
89,090,shellder,Shellder,シェルダー,Sherudā,Shellder
90,091,cloyster,Cloyster,パルシェン,Parushen,Parshen
91,092,gastly,Gastly,ゴース,Gōsu,Ghos
92,093,haunter,Haunter,ゴースト,Gōsuto,Ghost
93,094,gengar,Gengar,ゲンガー,Gengā,Gangar*
94,095,onix,Onix,イワーク,Iwāku,Iwark
95,096,drowzee,Drowzee,スリープ,Surīpu,Sleepe*
96,097,hypno,Hypno,スリーパー,Surīpā,Sleeper
97,098,krabby,Krabby,クラブ,Kurabu,Crab
98,099,kingler,Kingler,キングラー,Kingurā,Kingler*
99,100,voltorb,Voltorb,ビリリダマ,Biriridama,Biriridama
100,101,electrode,Electrode,マルマイン,Marumain,Marumine*
101,102,exeggcute,Exeggcute,タマタマ,Tamatama,Tamatama
102,103,exeggutor,Exeggutor,ナッシー,Nasshī,Nassy*
103,104,cubone,Cubone,カラカラ,Karakara,Karakara
104,105,marowak,Marowak,ガラガラ,Garagara,Garagara
105,106,hitmonlee,Hitmonlee,サワムラー,Sawamurā,Sawamular
106,107,hitmonchan,Hitmonchan,エビワラー,Ebiwarā,Ebiwalar
107,108,lickitung,Lickitung,ベロリンガ,Beroringa,Beroringa
108,109,koffing,Koffing,ドガース,Dogāsu,Dogars
109,110,weezing,Weezing,マタドガス,Matadogasu,Matadogas*
110,111,rhyhorn,Rhyhorn,サイホーン,Saihōn,Sihorn*
111,112,rhydon,Rhydon,サイドン,Saidon,Sidon*
112,113,chansey,Chansey,ラッキー,Rakkī,Lucky
113,114,tangela,Tangela,モンジャラ,Monjara,Monjara
114,115,kangaskhan,Kangaskhan,ガルーラ,Garūra,Garura
115,116,horsea,Horsea,タッツー,Tattsū,Tattu
116,117,seadra,Seadra,シードラ,Shīdora,Seadra
117,118,goldeen,Goldeen,トサキント,Tosakinto,Tosakinto
118,119,seaking,Seaking,アズマオウ,Azumaō,Azumao*
119,120,staryu,Staryu,ヒトデマン,Hitodeman,Hitodeman
120,121,starmie,Starmie,スターミー,Sutāmī,Starmie
121,122,mr. mime,Mr. Mime,バリヤード,Bariyādo,Barrierd
122,123,scyther,Scyther,ストライク,Sutoraiku,Strike
123,124,jynx,Jynx,ルージュラ,Rūjura,Rougela
124,125,electabuzz,Electabuzz,エレブー,Erebū,Eleboo
125,126,magmar,Magmar,ブーバー,Būbā,Boober
126,127,pinsir,Pinsir,カイロス,Kairosu,Kailios
127,128,tauros,Tauros,ケンタロス,Kentarosu,Kentauros
128,129,magikarp,Magikarp,コイキング,Koikingu,Koiking
129,130,gyarados,Gyarados,ギャラドス,Gyaradosu,Gyarados*
130,131,lapras,Lapras,ラプラス,Rapurasu,Laplace
131,132,ditto,Ditto,メタモン,Metamon,Metamon
132,133,eevee,Eevee,イーブイ,Ībui,Eievui
133,134,vaporeon,Vaporeon,シャワーズ,Shawāzu,Showers
134,135,jolteon,Jolteon,サンダース,Sandāsu,Thunders
135,136,flareon,Flareon,ブースター,Būsutā,Booster
136,137,porygon,Porygon,ポリゴン,Porigon,Porygon
137,138,omanyte,Omanyte,オムナイト,Omunaito,Omnite*
138,139,omastar,Omastar,オムスター,Omusutā,Omstar*
139,140,kabuto,Kabuto,カブト,Kabuto,Kabuto
140,141,kabutops,Kabutops,カブトプス,Kabutopusu,Kabutops*
141,142,aerodactyl,Aerodactyl,プテラ,Putera,Ptera
142,143,snorlax,Snorlax,カビゴン,Kabigon,Kabigon
143,144,articuno,Articuno,フリーザー,Furīzā,Freezer
144,145,zapdos,Zapdos,サンダー,Sandā,Thunder
145,146,moltres,Moltres,ファイヤー,Faiyā,Fire
146,147,dratini,Dratini,ミニリュウ,Miniryū,Miniryu
147,148,dragonair,Dragonair,ハクリュー,Hakuryū,Hakuryu
148,149,dragonite,Dragonite,カイリュー,Kairyū,Kairyu
149,150,mewtwo,Mewtwo,ミュウツー,Myūtsū,Mewtwo
150,151,mew,Mew,ミュウ,Myū,Mew
151,Generation II,,,,,
152,Ndex,ms,English,Japanese,,
153,Kana,hepburn,Trademarked,,,
154,152,chikorita,Chikorita,チコリータ,Chikorīta,Chicorita
155,153,bayleef,Bayleef,ベイリーフ,Beirīfu,Bayleaf
156,154,meganium,Meganium,メガニウム,Meganiumu,Meganium
157,155,cyndaquil,Cyndaquil,ヒノアラシ,Hinoarashi,Hinoarashi
158,156,quilava,Quilava,マグマラシ,Magumarashi,Magmarashi
159,157,typhlosion,Typhlosion,バクフーン,Bakufūn,Bakphoon
160,158,totodile,Totodile,ワニノコ,Waninoko,Waninoko
161,159,croconaw,Croconaw,アリゲイツ,Arigeitsu,Alligates
162,160,feraligatr,Feraligatr,オーダイル,Ōdairu,Ordile
163,161,sentret,Sentret,オタチ,Otachi,Otachi
164,162,furret,Furret,オオタチ,Ōtachi,Ootachi
165,163,hoothoot,Hoothoot,ホーホー,Hōhō,Hoho
166,164,noctowl,Noctowl,ヨルノズク,Yorunozuku,Yorunozuku
167,165,ledyba,Ledyba,レディバ,Rediba,Rediba
168,166,ledian,Ledian,レディアン,Redian,Redian
169,167,spinarak,Spinarak,イトマル,Itomaru,Itomaru
170,168,ariados,Ariados,アリアドス,Ariadosu,Ariados
171,169,crobat,Crobat,クロバット,Kurobatto,Crobat
172,170,chinchou,Chinchou,チョンチー,Chonchī,Chonchie
173,171,lanturn,Lanturn,ランターン,Rantān,Lantern
174,172,pichu,Pichu,ピチュー,Pichū,Pichu
175,173,cleffa,Cleffa,ピィ,Pī,Py
176,174,igglybuff,Igglybuff,ププリン,Pupurin,Pupurin
177,175,togepi,Togepi,トゲピー,Togepī,Togepy
178,176,togetic,Togetic,トゲチック,Togechikku,Togechick
179,177,natu,Natu,ネイティ,Neiti,Naty
180,178,xatu,Xatu,ネイティオ,Neitio,Natio
181,179,mareep,Mareep,メリープ,Merīpu,Merriep
182,180,flaaffy,Flaaffy,モココ,Mokoko,Mokoko
183,181,ampharos,Ampharos,デンリュウ,Denryū,Denryu
184,182,bellossom,Bellossom,キレイハナ,Kireihana,Kireihana
185,183,marill,Marill,マリル,Mariru,Maril
186,184,azumarill,Azumarill,マリルリ,Mariruri,Marilli
187,185,sudowoodo,Sudowoodo,ウソッキー,Usokkī,Usokkie
188,186,politoed,Politoed,ニョロトノ,Nyorotono,Nyorotono
189,187,hoppip,Hoppip,ハネッコ,Hanekko,Hanecco
190,188,skiploom,Skiploom,ポポッコ,Popokko,Popocco
191,189,jumpluff,Jumpluff,ワタッコ,Watakko,Watacco
192,190,aipom,Aipom,エイパム,Eipamu,Eipam
193,191,sunkern,Sunkern,ヒマナッツ,Himanattsu,Himanuts
194,192,sunflora,Sunflora,キマワリ,Kimawari,Kimawari
195,193,yanma,Yanma,ヤンヤンマ,Yan'yanma,Yanyanma
196,194,wooper,Wooper,ウパー,Upā,Upah
197,195,quagsire,Quagsire,ヌオー,Nuō,Nuoh
198,196,espeon,Espeon,エーフィ,Ēfi,Eifie
199,197,umbreon,Umbreon,ブラッキー,Burakkī,Blacky
200,198,murkrow,Murkrow,ヤミカラス,Yamikarasu,Yamikarasu
201,199,slowking,Slowking,ヤドキング,Yadokingu,Yadoking
202,200,misdreavus,Misdreavus,ムウマ,Mūma,Muma
203,201,unown,Unown,アンノーン,Annōn,Unknown
204,202,wobbuffet,Wobbuffet,ソーナンス,Sōnansu,Sonans
205,203,girafarig,Girafarig,キリンリキ,Kirinriki,Kirinriki
206,204,pineco,Pineco,クヌギダマ,Kunugidama,Kunugidama
207,205,forretress,Forretress,フォレトス,Foretosu,Foretos
208,206,dunsparce,Dunsparce,ノコッチ,Nokotchi,Nokocchi
209,207,gligar,Gligar,グライガー,Guraigā,Gliger
210,208,steelix,Steelix,ハガネール,Haganēru,Haganeil
211,209,snubbull,Snubbull,ブルー,Burū,Bulu
212,210,granbull,Granbull,グランブル,Guranburu,Granbulu
213,211,qwilfish,Qwilfish,ハリーセン,Harīsen,Harysen
214,212,scizor,Scizor,ハッサム,Hassamu,Hassam
215,213,shuckle,Shuckle,ツボツボ,Tsubotsubo,Tsubotsubo
216,214,heracross,Heracross,ヘラクロス,Herakurosu,Heracros
217,215,sneasel,Sneasel,ニューラ,Nyūra,Nyula
218,216,teddiursa,Teddiursa,ヒメグマ,Himeguma,Himeguma
219,217,ursaring,Ursaring,リングマ,Ringuma,Ringuma
220,218,slugma,Slugma,マグマッグ,Magumaggu,Magmag
221,219,magcargo,Magcargo,マグカルゴ,Magukarugo,Magcargot
222,220,swinub,Swinub,ウリムー,Urimū,Urimoo
223,221,piloswine,Piloswine,イノムー,Inomū,Inomoo
224,222,corsola,Corsola,サニーゴ,Sanīgo,Sunnygo
225,223,remoraid,Remoraid,テッポウオ,Teppouo,Teppouo
226,224,octillery,Octillery,オクタン,Okutan,Okutank
227,225,delibird,Delibird,デリバード,Deribādo,Delibird
228,226,mantine,Mantine,マンタイン,Mantain,Mantain
229,227,skarmory,Skarmory,エアームド,Eāmudo,Airmd
230,228,houndour,Houndour,デルビル,Derubiru,Delvil
231,229,houndoom,Houndoom,ヘルガー,Herugā,Hellgar
232,230,kingdra,Kingdra,キングドラ,Kingudora,Kingdra
233,231,phanpy,Phanpy,ゴマゾウ,Gomazō,Gomazou
234,232,donphan,Donphan,ドンファン,Donfan,Donfan
235,233,porygon2,Porygon2,ポリゴン２,Porigon Tsū,Porygon2
236,234,stantler,Stantler,オドシシ,Odoshishi,Odoshishi
237,235,smeargle,Smeargle,ドーブル,Dōburu,Doble
238,236,tyrogue,Tyrogue,バルキー,Barukī,Balkie
239,237,hitmontop,Hitmontop,カポエラー,Kapoerā,Kapoerer
240,238,smoochum,Smoochum,ムチュール,Muchūru,Muchul
241,239,elekid,Elekid,エレキッド,Erekiddo,Elekid
242,240,magby,Magby,ブビィ,Bubī,Buby
243,241,miltank,Miltank,ミルタンク,Mirutanku,Miltank
244,242,blissey,Blissey,ハピナス,Hapinasu,Happinas
245,243,raikou,Raikou,ライコウ,Raikō,Raikou
246,244,entei,Entei,エンテイ,Entei,Entei
247,245,suicune,Suicune,スイクン,Suikun,Suicune
248,246,larvitar,Larvitar,ヨーギラス,Yōgirasu,Yogiras
249,247,pupitar,Pupitar,サナギラス,Sanagirasu,Sanagiras
250,248,tyranitar,Tyranitar,バンギラス,Bangirasu,Bangiras
251,249,lugia,Lugia,ルギア,Rugia,Lugia
252,250,ho-oh,Ho-Oh,ホウオウ,Hōō,Houou
253,251,celebi,Celebi,セレビィ,Serebī,Celebi
254,Generation III,,,,,
255,Ndex,ms,English,Japanese,,
256,Kana,hepburn,Trademarked,,,
257,252,treecko,Treecko,キモリ,Kimori,Kimori
258,253,grovyle,Grovyle,ジュプトル,Juputoru,Juptile
259,254,sceptile,Sceptile,ジュカイン,Jukain,Jukain
260,255,torchic,Torchic,アチャモ,Achamo,Achamo
261,256,combusken,Combusken,ワカシャモ,Wakashamo,Wakasyamo
262,257,blaziken,Blaziken,バシャーモ,Bashāmo,Bursyamo
263,258,mudkip,Mudkip,ミズゴロウ,Mizugorō,Mizugorou
264,259,marshtomp,Marshtomp,ヌマクロー,Numakurō,Numacraw
265,260,swampert,Swampert,ラグラージ,Ragurāji,Laglarge
266,261,poochyena,Poochyena,ポチエナ,Pochiena,Pochiena
267,262,mightyena,Mightyena,グラエナ,Guraena,Graena
268,263,zigzagoon,Zigzagoon,ジグザグマ,Jiguzaguma,Jiguzaguma
269,264,linoone,Linoone,マッスグマ,Massuguma,Massuguma
270,265,wurmple,Wurmple,ケムッソ,Kemusso,Kemusso
271,266,silcoon,Silcoon,カラサリス,Karasarisu,Karasalis
272,267,beautifly,Beautifly,アゲハント,Agehanto,Agehunt
273,268,cascoon,Cascoon,マユルド,Mayurudo,Mayuld
274,269,dustox,Dustox,ドクケイル,Dokukeiru,Dokucale
275,270,lotad,Lotad,ハスボー,Hasubō,Hassboh
276,271,lombre,Lombre,ハスブレロ,Hasuburero,Hasubrero
277,272,ludicolo,Ludicolo,ルンパッパ,Runpappa,Runpappa
278,273,seedot,Seedot,タネボー,Tanebō,Taneboh
279,274,nuzleaf,Nuzleaf,コノハナ,Konohana,Konohana
280,275,shiftry,Shiftry,ダーテング,Dātengu,Dirteng
281,276,taillow,Taillow,スバメ,Subame,Subame
282,277,swellow,Swellow,オオスバメ,Ōsubame,Ohsubame
283,278,wingull,Wingull,キャモメ,Kyamome,Camome
284,279,pelipper,Pelipper,ペリッパー,Perippā,Pelipper
285,280,ralts,Ralts,ラルトス,Rarutosu,Ralts
286,281,kirlia,Kirlia,キルリア,Kiruria,Kirlia
287,282,gardevoir,Gardevoir,サーナイト,Sānaito,Sirnight
288,283,surskit,Surskit,アメタマ,Ametama,Ametama
289,284,masquerain,Masquerain,アメモース,Amemōsu,Amemoth
290,285,shroomish,Shroomish,キノココ,Kinokoko,Kinococo
291,286,breloom,Breloom,キノガッサ,Kinogassa,Kinogassa
292,287,slakoth,Slakoth,ナマケロ,Namakero,Namakero
293,288,vigoroth,Vigoroth,ヤルキモノ,Yarukimono,Yarukimono
294,289,slaking,Slaking,ケッキング,Kekkingu,Kekking
295,290,nincada,Nincada,ツチニン,Tsuchinin,Tutinin
296,291,ninjask,Ninjask,テッカニン,Tekkanin,Tekkanin
297,292,shedinja,Shedinja,ヌケニン,Nukenin,Nukenin
298,293,whismur,Whismur,ゴニョニョ,Gonyonyo,Gonyonyo
299,294,loudred,Loudred,ドゴーム,Dogōmu,Dogohmb
300,295,exploud,Exploud,バクオング,Bakuongu,Bakuong
301,296,makuhita,Makuhita,マクノシタ,Makunoshita,Makunoshita
302,297,hariyama,Hariyama,ハリテヤマ,Hariteyama,Hariteyama
303,298,azurill,Azurill,ルリリ,Ruriri,Ruriri
304,299,nosepass,Nosepass,ノズパス,Nozupasu,Nosepass
305,300,skitty,Skitty,エネコ,Eneko,Eneco
306,301,delcatty,Delcatty,エネコロロ,Enekororo,Enekororo
307,302,sableye,Sableye,ヤミラミ,Yamirami,Yamirami
308,303,mawile,Mawile,クチート,Kuchīto,Kucheat
309,304,aron,Aron,ココドラ,Kokodora,Cokodora
310,305,lairon,Lairon,コドラ,Kodora,Kodora
311,306,aggron,Aggron,ボスゴドラ,Bosugodora,Bossgodora
312,307,meditite,Meditite,アサナン,Asanan,Asanan
313,308,medicham,Medicham,チャーレム,Chāremu,Charem
314,309,electrike,Electrike,ラクライ,Rakurai,Rakurai
315,310,manectric,Manectric,ライボルト,Raiboruto,Livolt
316,311,plusle,Plusle,プラスル,Purasuru,Prasle
317,312,minun,Minun,マイナン,Mainan,Minun
318,313,volbeat,Volbeat,バルビート,Barubīto,Barubeat
319,314,illumise,Illumise,イルミーゼ,Irumīze,Illumise
320,315,roselia,Roselia,ロゼリア,Rozeria,Roselia
321,316,gulpin,Gulpin,ゴクリン,Gokurin,Gokulin
322,317,swalot,Swalot,マルノーム,Marunōmu,Marunoom
323,318,carvanha,Carvanha,キバニア,Kibania,Kibanha
324,319,sharpedo,Sharpedo,サメハダー,Samehadā,Samehader
325,320,wailmer,Wailmer,ホエルコ,Hoeruko,Hoeruko
326,321,wailord,Wailord,ホエルオー,Hoeruō,Whaloh
327,322,numel,Numel,ドンメル,Donmeru,Donmel
328,323,camerupt,Camerupt,バクーダ,Bakūda,Bakuuda
329,324,torkoal,Torkoal,コータス,Kōtasu,Cotoise
330,325,spoink,Spoink,バネブー,Banebū,Baneboo
331,326,grumpig,Grumpig,ブーピッグ,Būpiggu,Boopig
332,327,spinda,Spinda,パッチール,Patchīru,Patcheel
333,328,trapinch,Trapinch,ナックラー,Nakkurā,Nuckrar
334,329,vibrava,Vibrava,ビブラーバ,Biburāba,Vibrava
335,330,flygon,Flygon,フライゴン,Furaigon,Flygon
336,331,cacnea,Cacnea,サボネア,Sabonea,Sabonea
337,332,cacturne,Cacturne,ノクタス,Nokutasu,Noctus
338,333,swablu,Swablu,チルット,Chirutto,Tyltto
339,334,altaria,Altaria,チルタリス,Chirutarisu,Tyltalis
340,335,zangoose,Zangoose,ザングース,Zangūsu,Zangoose
341,336,seviper,Seviper,ハブネーク,Habunēku,Habunake
342,337,lunatone,Lunatone,ルナトーン,Runatōn,Lunatone
343,338,solrock,Solrock,ソルロック,Sorurokku,Solrock
344,339,barboach,Barboach,ドジョッチ,Dojotchi,Dojoach
345,340,whiscash,Whiscash,ナマズン,Namazun,Namazun
346,341,corphish,Corphish,ヘイガニ,Heigani,Heigani
347,342,crawdaunt,Crawdaunt,シザリガー,Shizarigā,Shizariger
348,343,baltoy,Baltoy,ヤジロン,Yajiron,Yajilon
349,344,claydol,Claydol,ネンドール,Nendōru,Nendoll
350,345,lileep,Lileep,リリーラ,Rirīra,Lilyla
351,346,cradily,Cradily,ユレイドル,Yureidoru,Yuradle
352,347,anorith,Anorith,アノプス,Anopusu,Anopth
353,348,armaldo,Armaldo,アーマルド,Āmarudo,Armaldo
354,349,feebas,Feebas,ヒンバス,Hinbasu,Hinbass
355,350,milotic,Milotic,ミロカロス,Mirokarosu,Milokaross
356,351,castform,Castform,ポワルン,Powarun,Powalen
357,352,kecleon,Kecleon,カクレオン,Kakureon,Kakureon
358,353,shuppet,Shuppet,カゲボウズ,Kagebōzu,Kagebouzu
359,354,banette,Banette,ジュペッタ,Jupetta,Juppeta
360,355,duskull,Duskull,ヨマワル,Yomawaru,Yomawaru
361,356,dusclops,Dusclops,サマヨール,Samayōru,Samayouru
362,357,tropius,Tropius,トロピウス,Toropiusu,Tropius
363,358,chimecho,Chimecho,チリーン,Chirīn,Chirean
364,359,absol,Absol,アブソル,Abusoru,Absol
365,360,wynaut,Wynaut,ソーナノ,Sōnano,Sohnano
366,361,snorunt,Snorunt,ユキワラシ,Yukiwarashi,Yukiwarashi
367,362,glalie,Glalie,オニゴーリ,Onigōri,Onigohri
368,363,spheal,Spheal,タマザラシ,Tamazarashi,Tamazarashi
369,364,sealeo,Sealeo,トドグラー,Todogurā,Todoggler
370,365,walrein,Walrein,トドゼルガ,Todozeruga,Todoseruga
371,366,clamperl,Clamperl,パールル,Pāruru,Pearlulu
372,367,huntail,Huntail,ハンテール,Hantēru,Huntail
373,368,gorebyss,Gorebyss,サクラビス,Sakurabisu,Sakurabyss
374,369,relicanth,Relicanth,ジーランス,Jīransu,Glanth
375,370,luvdisc,Luvdisc,ラブカス,Rabukasu,Lovecus
376,371,bagon,Bagon,タツベイ,Tatsubei,Tatsubay
377,372,shelgon,Shelgon,コモルー,Komorū,Komoruu
378,373,salamence,Salamence,ボーマンダ,Bōmanda,Bohmander
379,374,beldum,Beldum,ダンバル,Danbaru,Dumbber
380,375,metang,Metang,メタング,Metangu,Metang
381,376,metagross,Metagross,メタグロス,Metagurosu,Metagross
382,377,regirock,Regirock,レジロック,Rejirokku,Regirock
383,378,regice,Regice,レジアイス,Rejiaisu,Regice
384,379,registeel,Registeel,レジスチル,Rejisuchiru,Registeel
385,380,latias,Latias,ラティアス,Ratiasu,Latias
386,381,latios,Latios,ラティオス,Ratiosu,Latios
387,382,kyogre,Kyogre,カイオーガ,Kaiōga,Kyogre
388,383,groudon,Groudon,グラードン,Gurādon,Groudon
389,384,rayquaza,Rayquaza,レックウザ,Rekkūza,Rayquaza
390,385,jirachi,Jirachi,ジラーチ,Jirāchi,Jirachi
391,386,deoxys,Deoxys,デオキシス,Deokishisu,Deoxys
392,Generation IV,,,,,
393,Ndex,ms,English,Japanese,,
394,Kana,hepburn,Trademarked,,,
395,387,turtwig,Turtwig,ナエトル,Naetoru,Naetle
396,388,grotle,Grotle,ハヤシガメ,Hayashigame,Hayashigame
397,389,torterra,Torterra,ドダイトス,Dodaitosu,Dodaitose
398,390,chimchar,Chimchar,ヒコザル,Hikozaru,Hikozaru
399,391,monferno,Monferno,モウカザル,Mōkazaru,Moukazaru
400,392,infernape,Infernape,ゴウカザル,Gōkazaru,Goukazaru
401,393,piplup,Piplup,ポッチャマ,Potchama,Pochama
402,394,prinplup,Prinplup,ポッタイシ,Pottaishi,Pottaishi
403,395,empoleon,Empoleon,エンペルト,Enperuto,Emperte
404,396,starly,Starly,ムックル,Mukkuru,Mukkuru
405,397,staravia,Staravia,ムクバード,Mukubādo,Mukubird
406,398,staraptor,Staraptor,ムクホーク,Mukuhōku,Mukuhawk
407,399,bidoof,Bidoof,ビッパ,Bippa,Bippa
408,400,bibarel,Bibarel,ビーダル,Bīdaru,Beadaru
409,401,kricketot,Kricketot,コロボーシ,Korobōshi,Korobohshi
410,402,kricketune,Kricketune,コロトック,Korotokku,Korotock
411,403,shinx,Shinx,コリンク,Korinku,Kolink
412,404,luxio,Luxio,ルクシオ,Rukushio,Luxio
413,405,luxray,Luxray,レントラー,Rentorā,Rentorar
414,406,budew,Budew,スボミー,Subomī,Subomie
415,407,roserade,Roserade,ロズレイド,Rozureido,Roserade
416,408,cranidos,Cranidos,ズガイドス,Zugaidosu,Zugaidos
417,409,rampardos,Rampardos,ラムパルド,Ramuparudo,Rampald
418,410,shieldon,Shieldon,タテトプス,Tatetopusu,Tatetops
419,411,bastiodon,Bastiodon,トリデプス,Toridepusu,Torideps
420,412,burmy,Burmy,ミノムッチ,Minomutchi,Minomucchi
421,413,wormadam,Wormadam,ミノマダム,Minomadamu,Minomadam
422,414,mothim,Mothim,ガーメイル,Gāmeiru,Gamale
423,415,combee,Combee,ミツハニー,Mitsuhanī,Mitsuhoney
424,416,vespiquen,Vespiquen,ビークイン,Bīkuin,Beequen
425,417,pachirisu,Pachirisu,パチリス,Pachirisu,Pachirisu
426,418,buizel,Buizel,ブイゼル,Buizeru,Buoysel
427,419,floatzel,Floatzel,フローゼル,Furōzeru,Floazel
428,420,cherubi,Cherubi,チェリンボ,Cherinbo,Cherinbo
429,421,cherrim,Cherrim,チェリム,Cherimu,Cherrim
430,422,shellos,Shellos,カラナクシ,Karanakushi,Karanakushi
431,423,gastrodon,Gastrodon,トリトドン,Toritodon,Tritodon
