name,en,ko,zh,it,es,fr,de,hi,jp,zh-cn,ja
expired,Trial period has expired! To gain full access to the bot please activate the bot using this link,평가판 기간이 만료되었습니다! 봇에 대한 전체 액세스 권한을 얻으려면 이 링크를 사용하여 봇을 활성화하세요.,试用期已过！要获得对机器人的完全访问权限，请使用此链接激活机器人,"Il periodo di prova è scaduto! Per ottenere l'accesso completo al bot, attiva il bot utilizzando questo link","¡El período de prueba ha expirado! Para obtener acceso completo al bot, active el bot usando este enlace","La période d'essai a expiré ! Pour obtenir un accès complet au bot, veuillez activer le bot en utilisant ce lien","Probezeit abgelaufen! Um vollen Zugriff auf den Bot zu erhalten, aktivieren Sie den Bot bitte über diesen Link",परीक्षण अवधि समाप्त हो गई है! बॉट तक पूर्ण पहुंच प्राप्त करने के लिए कृपया इस लिंक का उपयोग करके बॉट को सक्रिय करें,試用期間が終了しました！ボットへのフルアクセスを取得するには、このリンクを使用してボットをアクティブ化してください,试用期已过！要获得对机器人的完全访问权限，请使用此链接激活机器人,試用期間が終了しました！ボットへのフルアクセスを取得するには、このリンクを使用してボットをアクティブ化してください
lang_ok,Language set!,언어 설정!,语言设置！,Lingua impostata!,¡Conjunto de idiomas!,Langue définie!,Sprache eingestellt!,भाषा सेट!,言語セット！,语言设置！,言語セット！
skip_btn,Skip,건너뛰다,跳过,Saltare,Saltear,Sauter,Überspringen,छोडना,スキップ,跳过,スキップ
lrank_btn,Local Rank,지역 순위,本地排名,Grado locale,Rango local,Classement local,Lokaler Rang,स्थानीय रैंक,ローカルランク,本地排名,ローカルランク
grank_btn,Global Rank,세계 순위,全球排名,Classifica globale,Posición Mundial,rang global,Globaler Rang,वैश्विक रैंक,世界ランク,全球排名,世界ランク
hint_btn,Hint,힌트,暗示,Suggerimento,Insinuación,Indice,Hinweis,संकेत देना,ヒント,暗示,ヒント
generation_select,Choose the pokemon generations...,포켓몬 세대를 선택하세요...,选择口袋妖怪世代...,Scegli le generazioni di pokemon...,Elige las generaciones de pokemon...,Choisissez les générations de Pokémon...,Wählen Sie die Pokemon-Generationen ...,पोकेमॉन पीढ़ी चुनें...,ポケモン世代を選択してください...,选择口袋妖怪世代...,ポケモン世代を選択してください...
lang_btn,Choose the language...,언어 선택...,选择语言...,Scegli la lingua...,Elige el idioma...,Choisissez la langue...,Wählen Sie die Sprache...,भाषा चुनें...,言語を選択してください...,选择语言...,言語を選択してください...
it_is,It's,그것은,它是,È,Es,C'est,Es ist,यह है,これは,,
rank_position,World rank,세계 순위,世界排名,Classifica mondiale,Categoría mundial,Classement mondial,Weltrang,विश्व रैंक,世界ランク,,
