name,pokedex_num,clear_path,blacked_path,tier,generation,de,fr,jp,ko,zh,en,es,it,hi,shiny_path
aggron,306.0,./gifs/clear/aggron.gif,./gifs/blacked/aggron.gif,0.0,hoenn,stolloss,galeking,ボスゴドラ,보스로라,波士可多拉,aggron,aggron,aggron,aggron,./gifs/shiny/aggron.gif
aipom,190.0,./gifs/clear/aipom.gif,./gifs/blacked/aipom.gif,0.0,johto,griffel,capumain,エイパム,에이팜,長尾怪手,aipom,aipom,aipom,aipom,./gifs/shiny/aipom.gif
alakazam-mega,,./gifs/clear/alakazam-mega.gif,./gifs/blacked/alakazam-mega.gif,0.0,mega,alakazam mega,alakazam mega,alakazam mega,alakazam mega,alakazam mega,alakazam mega,alakazam mega,alakazam mega,alakazam mega,./gifs/shiny/alakazam-mega.gif
alakazam,65.0,./gifs/clear/alakazam.gif,./gifs/blacked/alakazam.gif,0.0,kanto,simsala,alakazam,フーディン,후딘,胡地,alakazam,alakazam,alakazam,alakazam,./gifs/shiny/alakazam.gif
alcremie-gigantamax,,./gifs/clear/alcremie-gigantamax.gif,./gifs/blacked/alcremie-gigantamax.gif,0.0,gmax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,alcremie gigantamax,./gifs/shiny/alcremie-gigantamax.gif
alcremie,869.0,./gifs/clear/alcremie.gif,./gifs/blacked/alcremie.gif,0.0,other,pokusan,charmilly,マホイップ,마휘핑,霜奶仙,alcremie,alcremie,alcremie,alcremie,./gifs/shiny/alcremie.gif
alomomola,594.0,./gifs/clear/alomomola.gif,./gifs/blacked/alomomola.gif,0.0,unova,mamolida,mamanbo,ママンボウ,맘복치,保母曼波,alomomola,alomomola,alomomola,alomomola,./gifs/shiny/alomomola.gif
altaria-mega,,./gifs/clear/altaria-mega.gif,./gifs/blacked/altaria-mega.gif,,mega,altaria mega,altaria mega,altaria mega,altaria mega,altaria mega,altaria mega,altaria mega,altaria mega,altaria mega,./gifs/shiny/altaria-mega.gif
altaria,334.0,./gifs/clear/altaria.gif,./gifs/blacked/altaria.gif,0.0,hoenn,altaria,altaria,チルタリス,파비코리,七夕青鳥,altaria,altaria,altaria,altaria,./gifs/shiny/altaria.gif
amaura,698.0,./gifs/clear/amaura.gif,./gifs/blacked/amaura.gif,0.0,kalos,amarino,amagara,アマルス,아마루스,冰雪龍,amaura,amaura,amaura,amaura,./gifs/shiny/amaura.gif
ambipom,424.0,./gifs/clear/ambipom.gif,./gifs/blacked/ambipom.gif,0.0,other,ambidiffel,capidextre,エテボース,겟핸보숭,雙尾怪手,ambipom,ambipom,ambipom,ambipom,./gifs/shiny/ambipom.gif
amoonguss,591.0,./gifs/clear/amoonguss.gif,./gifs/blacked/amoonguss.gif,0.0,unova,hutsassa,gaulet,モロバレル,뽀록나,敗露球菇,amoonguss,amoonguss,amoonguss,amoonguss,./gifs/shiny/amoonguss.gif
ampharos-mega,,./gifs/clear/ampharos-mega.gif,./gifs/blacked/ampharos-mega.gif,0.0,mega,ampharos mega,ampharos mega,ampharos mega,ampharos mega,ampharos mega,ampharos mega,ampharos mega,ampharos mega,ampharos mega,./gifs/shiny/ampharos-mega.gif
ampharos,181.0,./gifs/clear/ampharos.gif,./gifs/blacked/ampharos.gif,0.0,johto,ampharos,pharamp,デンリュウ,전룡,電龍,ampharos,ampharos,ampharos,ampharos,./gifs/shiny/ampharos.gif
anorith,347.0,./gifs/clear/anorith.gif,./gifs/blacked/anorith.gif,0.0,hoenn,anorith,anorith,アノプス,아노딥스,太古羽蟲,anorith,anorith,anorith,anorith,./gifs/shiny/anorith.gif
appletun-gigantamax,,./gifs/clear/appletun-gigantamax.gif,./gifs/blacked/appletun-gigantamax.gif,0.0,gmax,appletun gigantamax,appletun gigantamax,appletun gigantamax,appletun gigantamax,appletun gigantamax,appletun gigantamax,appletun gigantamax,appletun gigantamax,appletun gigantamax,./gifs/shiny/appletun-gigantamax.gif
appletun,842.0,./gifs/clear/appletun.gif,./gifs/blacked/appletun.gif,0.0,other,schlapfel,dratatin,タルップル,단지래플,豐蜜龍,appletun,appletun,appletun,appletun,./gifs/shiny/appletun.gif
applin,840.0,./gifs/clear/applin.gif,./gifs/blacked/applin.gif,0.0,other,knapfel,verpom,カジッチュ,과사삭벌레,啃果蟲,applin,applin,applin,applin,./gifs/shiny/applin.gif
araquanid,752.0,./gifs/clear/araquanid.gif,./gifs/blacked/araquanid.gif,0.0,alola,aranestro,tarenbulle,オニシズクモ,깨비물거미,滴蛛霸,araquanid,araquanid,araquanid,araquanid,./gifs/shiny/araquanid.gif
arbok,24.0,./gifs/clear/arbok.gif,./gifs/blacked/arbok.gif,0.0,kanto,arbok,arbok,アーボック,아보크,阿柏怪,arbok,arbok,arbok,arbok,./gifs/shiny/arbok.gif
arcanine,59.0,./gifs/clear/arcanine.gif,./gifs/blacked/arcanine.gif,0.0,kanto,arkani,arcanin,ウインディ,윈디,風速狗,arcanine,arcanine,arcanine,arcanine,./gifs/shiny/arcanine.gif
arceus,493.0,./gifs/clear/arceus.gif,./gifs/blacked/arceus.gif,0.0,other,arceus,arceus,アルセウス,아르세우스,阿爾宙斯,arceus,arceus,arceus,arceus,./gifs/shiny/arceus.gif
archen,566.0,./gifs/clear/archen.gif,./gifs/blacked/archen.gif,0.0,unova,flapteryx,arkéapti,アーケン,아켄,始祖小鳥,archen,archen,archen,archen,./gifs/shiny/archen.gif
archeops,567.0,./gifs/clear/archeops.gif,./gifs/blacked/archeops.gif,0.0,unova,aeropteryx,aéroptéryx,アーケオス,아케오스,始祖大鳥,archeops,archeops,archeops,archeops,./gifs/shiny/archeops.gif
arctovish,883.0,./gifs/clear/arctovish.gif,./gifs/blacked/arctovish.gif,0.0,other,pescryodon,hydragla,ウオチルドン,어치르돈,鰓魚海獸,arctovish,arctovish,arctovish,arctovish,./gifs/shiny/arctovish.gif
arctozolt,881.0,./gifs/clear/arctozolt.gif,./gifs/blacked/arctozolt.gif,0.0,other,lecryodon,galvagla,パッチルドン,파치르돈,雷鳥海獸,arctozolt,arctozolt,arctozolt,arctozolt,./gifs/shiny/arctozolt.gif
ariados,168.0,./gifs/clear/ariados.gif,./gifs/blacked/ariados.gif,0.0,johto,ariados,migalos,アリアドス,아리아도스,阿利多斯,ariados,ariados,ariados,ariados,./gifs/shiny/ariados.gif
armaldo,348.0,./gifs/clear/armaldo.gif,./gifs/blacked/armaldo.gif,0.0,hoenn,armaldo,armaldo,アーマルド,아말도,太古盔甲,armaldo,armaldo,armaldo,armaldo,./gifs/shiny/armaldo.gif
aromatisse,683.0,./gifs/clear/aromatisse.gif,./gifs/blacked/aromatisse.gif,0.0,kalos,parfinesse,cocotine,フレフワン,프레프티르,芳香精,aromatisse,aromatisse,aromatisse,aromatisse,./gifs/shiny/aromatisse.gif
aron,304.0,./gifs/clear/aron.gif,./gifs/blacked/aron.gif,0.0,hoenn,stollunior,galekid,ココドラ,가보리,可可多拉,aron,aron,aron,aron,./gifs/shiny/aron.gif
arrokuda,846.0,./gifs/clear/arrokuda.gif,./gifs/blacked/arrokuda.gif,0.0,other,pikuda,embrochet,サシカマス,찌로꼬치,刺梭魚,arrokuda,arrokuda,arrokuda,arrokuda,./gifs/shiny/arrokuda.gif
articuno-galar,,./gifs/clear/articuno-galar.gif,./gifs/blacked/articuno-galar.gif,,galar,articuno galar,articuno galar,articuno galar,articuno galar,articuno galar,articuno galar,articuno galar,articuno galar,articuno galar,./gifs/shiny/articuno-galar.gif
articuno,144.0,./gifs/clear/articuno.gif,./gifs/blacked/articuno.gif,0.0,kanto,arktos,artikodin,フリーザー,프리져,急凍鳥,articuno,articuno,articuno,articuno,./gifs/shiny/articuno.gif
audino-mega,,./gifs/clear/audino-mega.gif,./gifs/blacked/audino-mega.gif,0.0,mega,audino mega,audino mega,audino mega,audino mega,audino mega,audino mega,audino mega,audino mega,audino mega,./gifs/shiny/audino-mega.gif
audino,531.0,./gifs/clear/audino.gif,./gifs/blacked/audino.gif,0.0,unova,ohrdoch,nanméouïe,タブンネ,다부니,差不多娃娃,audino,audino,audino,audino,./gifs/shiny/audino.gif
aurorus,699.0,./gifs/clear/aurorus.gif,./gifs/blacked/aurorus.gif,0.0,kalos,amagarga,dragmara,アマルルガ,아마루르가,冰雪巨龍,aurorus,aurorus,aurorus,aurorus,./gifs/shiny/aurorus.gif
avalugg,713.0,./gifs/clear/avalugg.gif,./gifs/blacked/avalugg.gif,0.0,kalos,arktilas,séracrawl,クレベース,크레베이스,冰岩怪,avalugg,avalugg,avalugg,avalugg,./gifs/shiny/avalugg.gif
axew,610.0,./gifs/clear/axew.gif,./gifs/blacked/axew.gif,0.0,unova,milza,coupenotte,キバゴ,터검니,牙牙,axew,axew,axew,axew,./gifs/shiny/axew.gif
azelf,482.0,./gifs/clear/azelf.gif,./gifs/blacked/azelf.gif,0.0,other,tobutz,créfadet,アグノム,아그놈,亞克諾姆,azelf,azelf,azelf,azelf,./gifs/shiny/azelf.gif
azumarill,184.0,./gifs/clear/azumarill.gif,./gifs/blacked/azumarill.gif,0.0,johto,azumarill,azumarill,マリルリ,마릴리,瑪力露麗,azumarill,azumarill,azumarill,azumarill,./gifs/shiny/azumarill.gif
azurill,298.0,./gifs/clear/azurill.gif,./gifs/blacked/azurill.gif,0.0,hoenn,azurill,azurill,ルリリ,루리리,露力麗,azurill,azurill,azurill,azurill,./gifs/shiny/azurill.gif
bagon,371.0,./gifs/clear/bagon.gif,./gifs/blacked/bagon.gif,0.0,hoenn,kindwurm,draby,タツベイ,아공이,寶貝龍,bagon,bagon,bagon,bagon,./gifs/shiny/bagon.gif
baltoy,343.0,./gifs/clear/baltoy.gif,./gifs/blacked/baltoy.gif,0.0,hoenn,puppance,balbuto,ヤジロン,오뚝군,天秤偶,baltoy,baltoy,baltoy,baltoy,./gifs/shiny/baltoy.gif
banette-mega,,./gifs/clear/banette-mega.gif,./gifs/blacked/banette-mega.gif,0.0,mega,banette mega,banette mega,banette mega,banette mega,banette mega,banette mega,banette mega,banette mega,banette mega,./gifs/shiny/banette-mega.gif
banette,354.0,./gifs/clear/banette.gif,./gifs/blacked/banette.gif,0.0,hoenn,banette,branette,ジュペッタ,다크펫,詛咒娃娃,banette,banette,banette,banette,./gifs/shiny/banette.gif
barbaracle,689.0,./gifs/clear/barbaracle.gif,./gifs/blacked/barbaracle.gif,0.0,kalos,thanathora,golgopathe,ガメノデス,거북손데스,龜足巨鎧,barbaracle,barbaracle,barbaracle,barbaracle,./gifs/shiny/barbaracle.gif
barboach,339.0,./gifs/clear/barboach.gif,./gifs/blacked/barboach.gif,0.0,hoenn,schmerbe,barloche,ドジョッチ,미꾸리,泥泥鰍,barboach,barboach,barboach,barboach,./gifs/shiny/barboach.gif
barraskewda,847.0,./gifs/clear/barraskewda.gif,./gifs/blacked/barraskewda.gif,0.0,other,barrakiefa,hastacuda,カマスジョー,꼬치조,戽斗尖梭,barraskewda,barraskewda,barraskewda,barraskewda,./gifs/shiny/barraskewda.gif
basculin,550.0,./gifs/clear/basculin.gif,./gifs/blacked/basculin.gif,0.0,unova,barschuft,bargantua,バスラオ,배쓰나이,野蠻鱸魚,basculin,basculin,basculin,basculin,./gifs/shiny/basculin.gif
bastiodon,411.0,./gifs/clear/bastiodon.gif,./gifs/blacked/bastiodon.gif,0.0,other,bollterus,bastiodon,トリデプス,바리톱스,護城龍,bastiodon,bastiodon,bastiodon,bastiodon,./gifs/shiny/bastiodon.gif
bayleef,153.0,./gifs/clear/bayleef.gif,./gifs/blacked/bayleef.gif,0.0,johto,lorblatt,macronium,ベイリーフ,베이리프,月桂葉,bayleef,bayleef,bayleef,bayleef,./gifs/shiny/bayleef.gif
beartic,614.0,./gifs/clear/beartic.gif,./gifs/blacked/beartic.gif,0.0,unova,siberio,polagriffe,ツンベアー,툰베어,凍原熊,beartic,beartic,beartic,beartic,./gifs/shiny/beartic.gif
beautifly,267.0,./gifs/clear/beautifly.gif,./gifs/blacked/beautifly.gif,0.0,hoenn,papinella,charmillon,アゲハント,뷰티플라이,狩獵鳳蝶,beautifly,beautifly,beautifly,beautifly,./gifs/shiny/beautifly.gif
beedrill-mega,,./gifs/clear/beedrill-mega.gif,./gifs/blacked/beedrill-mega.gif,,mega,beedrill mega,beedrill mega,beedrill mega,beedrill mega,beedrill mega,beedrill mega,beedrill mega,beedrill mega,beedrill mega,./gifs/shiny/beedrill-mega.gif
beedrill,15.0,./gifs/clear/beedrill.gif,./gifs/blacked/beedrill.gif,0.0,kanto,bibor,dardargnan,スピアー,독침붕,大針蜂,beedrill,beedrill,beedrill,beedrill,./gifs/shiny/beedrill.gif
beheeyem,606.0,./gifs/clear/beheeyem.gif,./gifs/blacked/beheeyem.gif,0.0,unova,megalon,neitram,オーベム,벰크,大宇怪,beheeyem,beheeyem,beheeyem,beheeyem,./gifs/shiny/beheeyem.gif
beldum,374.0,./gifs/clear/beldum.gif,./gifs/blacked/beldum.gif,0.0,hoenn,tanhel,terhal,ダンバル,메탕,鐵啞鈴,beldum,beldum,beldum,beldum,./gifs/shiny/beldum.gif
bellossom,182.0,./gifs/clear/bellossom.gif,./gifs/blacked/bellossom.gif,0.0,johto,blubella,joliflor,キレイハナ,아르코,美麗花,bellossom,bellossom,bellossom,bellossom,./gifs/shiny/bellossom.gif
bellsprout,69.0,./gifs/clear/bellsprout.gif,./gifs/blacked/bellsprout.gif,0.0,kanto,knofensa,chétiflor,マダツボミ,모다피,喇叭芽,bellsprout,bellsprout,bellsprout,bellsprout,./gifs/shiny/bellsprout.gif
bergmite,712.0,./gifs/clear/bergmite.gif,./gifs/blacked/bergmite.gif,0.0,kalos,arktip,grelaçon,カチコール,꽁어름,冰寶,bergmite,bergmite,bergmite,bergmite,./gifs/shiny/bergmite.gif
bewear,760.0,./gifs/clear/bewear.gif,./gifs/blacked/bewear.gif,0.0,alola,kosturso,chelours,キテルグマ,이븐곰,穿著熊,bewear,bewear,bewear,bewear,./gifs/shiny/bewear.gif
bibarel,400.0,./gifs/clear/bibarel.gif,./gifs/blacked/bibarel.gif,0.0,other,bidifas,castorno,ビーダル,비버통,大尾狸,bibarel,bibarel,bibarel,bibarel,./gifs/shiny/bibarel.gif
bidoof,399.0,./gifs/clear/bidoof.gif,./gifs/blacked/bidoof.gif,0.0,other,bidiza,keunotor,ビッパ,비버니,大牙狸,bidoof,bidoof,bidoof,bidoof,./gifs/shiny/bidoof.gif
binacle,688.0,./gifs/clear/binacle.gif,./gifs/blacked/binacle.gif,0.0,kalos,bithora,opermine,カメテテ,거북손손,龜腳腳,binacle,binacle,binacle,binacle,./gifs/shiny/binacle.gif
bisharp,625.0,./gifs/clear/bisharp.gif,./gifs/blacked/bisharp.gif,0.0,unova,caesurio,scalproie,キリキザン,절각참,劈斬司令,bisharp,bisharp,bisharp,bisharp,./gifs/shiny/bisharp.gif
blacephalon,806.0,./gifs/clear/blacephalon.gif,,0.0,alola,kopplosio,pierroteknik,ズガドーン,두파팡,砰頭小丑,blacephalon,blacephalon,blacephalon,blacephalon,./gifs/shiny/blacephalon.gif
black-kyurem,,./gifs/clear/kyurem-black.gif,./gifs/blacked/kyurem-black.gif,,other,black kyurem,black kyurem,black kyurem,black kyurem,black kyurem,black kyurem,black kyurem,black kyurem,black kyurem,./gifs/shiny/kyurem-black.gif
blastoise-gigantamax,,./gifs/clear/blastoise-gigantamax.gif,./gifs/blacked/blastoise-gigantamax.gif,0.0,gmax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,blastoise gigantamax,./gifs/shiny/blastoise-gigantamax.gif
blastoise-mega,,./gifs/clear/blastoise-mega.gif,./gifs/blacked/blastoise-mega.gif,0.0,mega,blastoise mega,blastoise mega,blastoise mega,blastoise mega,blastoise mega,blastoise mega,blastoise mega,blastoise mega,blastoise mega,./gifs/shiny/blastoise-mega.gif
blastoise,9.0,./gifs/clear/blastoise.gif,./gifs/blacked/blastoise.gif,0.0,kanto,turtok,tortank,カメックス,거북왕,水箭龜,blastoise,blastoise,blastoise,blastoise,./gifs/shiny/blastoise.gif
blaziken-mega,,./gifs/clear/blaziken-mega.gif,./gifs/blacked/blaziken-mega.gif,0.0,mega,blaziken mega,blaziken mega,blaziken mega,blaziken mega,blaziken mega,blaziken mega,blaziken mega,blaziken mega,blaziken mega,./gifs/shiny/blaziken-mega.gif
blaziken,257.0,./gifs/clear/blaziken.gif,./gifs/blacked/blaziken.gif,0.0,hoenn,lohgock,braségali,バシャーモ,번치코,火焰雞,blaziken,blaziken,blaziken,blaziken,./gifs/shiny/blaziken.gif
blipbug,824.0,./gifs/clear/blipbug.gif,./gifs/blacked/blipbug.gif,0.0,other,sensect,larvadar,サッチムシ,두루지벌레,索偵蟲,blipbug,blipbug,blipbug,blipbug,./gifs/shiny/blipbug.gif
blissey,242.0,./gifs/clear/blissey.gif,./gifs/blacked/blissey.gif,0.0,johto,heiteira,leuphorie,ハピナス,해피너스,幸福蛋,blissey,blissey,blissey,blissey,./gifs/shiny/blissey.gif
blitzle,522.0,./gifs/clear/blitzle.gif,./gifs/blacked/blitzle.gif,0.0,unova,elezeba,zébribon,シママ,줄뮤마,斑斑馬,blitzle,blitzle,blitzle,blitzle,./gifs/shiny/blitzle.gif
boldore,525.0,./gifs/clear/boldore.gif,./gifs/blacked/boldore.gif,0.0,unova,sedimantur,géolithe,ガントル,암트르,地幔岩,boldore,boldore,boldore,boldore,./gifs/shiny/boldore.gif
boltund,836.0,./gifs/clear/boltund.gif,./gifs/blacked/boltund.gif,0.0,other,bellektro,fulgudog,パルスワン,펄스멍,逐電犬,boltund,boltund,boltund,boltund,./gifs/shiny/boltund.gif
bonsly,438.0,./gifs/clear/bonsly.gif,./gifs/blacked/bonsly.gif,0.0,other,mobai,manzaï,ウソハチ,꼬지지,盆才怪,bonsly,bonsly,bonsly,bonsly,./gifs/shiny/bonsly.gif
bouffalant,626.0,./gifs/clear/bouffalant.gif,./gifs/blacked/bouffalant.gif,0.0,unova,bisofank,frison,バッフロン,버프론,爆炸頭水牛,bouffalant,bouffalant,bouffalant,bouffalant,./gifs/shiny/bouffalant.gif
bounsweet,761.0,./gifs/clear/bounsweet.gif,./gifs/blacked/bounsweet.gif,0.0,alola,frubberl,croquine,アマカジ,달콤아,甜竹竹,bounsweet,bounsweet,bounsweet,bounsweet,./gifs/shiny/bounsweet.gif
braixen,654.0,./gifs/clear/braixen.gif,./gifs/blacked/braixen.gif,0.0,kalos,rutena,roussil,テールナー,테르나,長尾火狐,braixen,braixen,braixen,braixen,./gifs/shiny/braixen.gif
braviary,628.0,./gifs/clear/braviary.gif,./gifs/blacked/braviary.gif,0.0,unova,washakwil,gueriaigle,ウォーグル,워글,勇士雄鷹,braviary,braviary,braviary,braviary,./gifs/shiny/braviary.gif
breloom,286.0,./gifs/clear/breloom.gif,./gifs/blacked/breloom.gif,0.0,hoenn,kapilz,chapignon,キノガッサ,버섯모,斗笠菇,breloom,breloom,breloom,breloom,./gifs/shiny/breloom.gif
brionne,729.0,./gifs/clear/brionne.gif,./gifs/blacked/brionne.gif,0.0,alola,marikeck,otarlette,オシャマリ,키요공,花漾海獅,brionne,brionne,brionne,brionne,./gifs/shiny/brionne.gif
bronzong,437.0,./gifs/clear/bronzong.gif,./gifs/blacked/bronzong.gif,0.0,other,bronzong,archéodong,ドータクン,동탁군,青銅鐘,bronzong,bronzong,bronzong,bronzong,./gifs/shiny/bronzong.gif
bronzor,436.0,./gifs/clear/bronzor.gif,./gifs/blacked/bronzor.gif,0.0,other,bronzel,archéomire,ドーミラー,동미러,銅鏡怪,bronzor,bronzor,bronzor,bronzor,./gifs/shiny/bronzor.gif
bruxish,779.0,./gifs/clear/bruxish.gif,./gifs/blacked/bruxish.gif,0.0,alola,knirfish,denticrisse,ハギギシリ,치갈기,磨牙彩皮魚,bruxish,bruxish,bruxish,bruxish,./gifs/shiny/bruxish.gif
budew,406.0,./gifs/clear/budew.gif,./gifs/blacked/budew.gif,0.0,other,knospi,rozbouton,スボミー,꼬몽울,含羞苞,budew,budew,budew,budew,./gifs/shiny/budew.gif
buizel,418.0,./gifs/clear/buizel.gif,./gifs/blacked/buizel.gif,0.0,other,bamelin,mustébouée,ブイゼル,브이젤,泳圈鼬,buizel,buizel,buizel,buizel,./gifs/shiny/buizel.gif
bulbasaur,1.0,./gifs/clear/bulbasaur.gif,./gifs/blacked/bulbasaur.gif,0.0,kanto,bisasam,bulbizarre,フシギダネ,이상해씨,妙蛙種子,bulbasaur,bulbasaur,bulbasaur,bulbasaur,./gifs/shiny/bulbasaur.gif
buneary,427.0,./gifs/clear/buneary.gif,./gifs/blacked/buneary.gif,0.0,other,haspiror,laporeille,ミミロル,이어롤,捲捲耳,buneary,buneary,buneary,buneary,./gifs/shiny/buneary.gif
bunnelby,659.0,./gifs/clear/bunnelby.gif,./gifs/blacked/bunnelby.gif,0.0,kalos,scoppel,sapereau,ホルビー,파르빗,掘掘兔,bunnelby,bunnelby,bunnelby,bunnelby,./gifs/shiny/bunnelby.gif
burmy,412.0,./gifs/clear/burmy.gif,./gifs/blacked/burmy.gif,0.0,other,burmy,cheniti,ミノムッチ,도롱충이,結草兒,burmy,burmy,burmy,burmy,./gifs/shiny/burmy.gif
butterfree-gigantamax,,./gifs/clear/butterfree-gigantamax.gif,./gifs/blacked/butterfree-gigantamax.gif,0.0,gmax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,butterfree gigantamax,./gifs/shiny/butterfree-gigantamax.gif
butterfree,12.0,./gifs/clear/butterfree.gif,./gifs/blacked/butterfree.gif,0.0,kanto,smettbo,papilusion,バタフリー,버터플,巴大蝶,butterfree,butterfree,butterfree,butterfree,./gifs/shiny/butterfree.gif
buzzwole,794.0,./gifs/clear/buzzwole.gif,./gifs/blacked/buzzwole.gif,0.0,alola,masskito,mouscoto,マッシブーン,매시붕,爆肌蚊,buzzwole,buzzwole,buzzwole,buzzwole,./gifs/shiny/buzzwole.gif
cacnea,331.0,./gifs/clear/cacnea.gif,./gifs/blacked/cacnea.gif,0.0,hoenn,tuska,cacnea,サボネア,선인왕,刺球仙人掌,cacnea,cacnea,cacnea,cacnea,./gifs/shiny/cacnea.gif
cacturne,332.0,./gifs/clear/cacturne.gif,./gifs/blacked/cacturne.gif,0.0,hoenn,noktuska,cacturne,ノクタス,밤선인,夢歌仙人掌,cacturne,cacturne,cacturne,cacturne,./gifs/shiny/cacturne.gif
ice-rider-calyrex,,./gifs/clear/calyrex-ice.gif,./gifs/blacked/calyrex-ice.gif,,other,ice rider calyrex,ice rider calyrex,ice rider calyrex,ice rider calyrex,ice rider calyrex,ice rider calyrex,ice rider calyrex,ice rider calyrex,ice rider calyrex,./gifs/shiny/calyrex-ice.gif
shadow-rider-calyrex,,./gifs/clear/calyrex-shadow.gif,./gifs/blacked/calyrex-shadow.gif,,other,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,shadow rider calyrex,./gifs/shiny/calyrex-shadow.gif
calyrex,898.0,./gifs/clear/calyrex.gif,./gifs/blacked/calyrex.gif,0.0,other,coronospa,sylveroy,バドレックス,버드렉스,蕾冠王,calyrex,calyrex,calyrex,calyrex,./gifs/shiny/calyrex.gif
camerupt-mega,,./gifs/clear/camerupt-mega.gif,./gifs/blacked/camerupt-mega.gif,,mega,camerupt mega,camerupt mega,camerupt mega,camerupt mega,camerupt mega,camerupt mega,camerupt mega,camerupt mega,camerupt mega,./gifs/shiny/camerupt-mega.gif
camerupt,323.0,./gifs/clear/camerupt.gif,./gifs/blacked/camerupt.gif,0.0,hoenn,camerupt,camérupt,バクーダ,폭타,噴火駝,camerupt,camerupt,camerupt,camerupt,./gifs/shiny/camerupt.gif
carbink,703.0,./gifs/clear/carbink.gif,./gifs/blacked/carbink.gif,0.0,kalos,rocara,strassie,メレシー,멜리시,小碎鑽,carbink,carbink,carbink,carbink,./gifs/shiny/carbink.gif
carkol,838.0,./gifs/clear/carkol.gif,./gifs/blacked/carkol.gif,0.0,other,wagong,wagomine,トロッゴン,탄차곤,大炭車,carkol,carkol,carkol,carkol,./gifs/shiny/carkol.gif
carnivine,455.0,./gifs/clear/carnivine.gif,./gifs/blacked/carnivine.gif,0.0,other,venuflibis,vortente,マスキッパ,무스틈니,尖牙籠,carnivine,carnivine,carnivine,carnivine,./gifs/shiny/carnivine.gif
carracosta,565.0,./gifs/clear/carracosta.gif,./gifs/blacked/carracosta.gif,0.0,unova,karippas,mégapagos,アバゴーラ,늑골라,肋骨海龜,carracosta,carracosta,carracosta,carracosta,./gifs/shiny/carracosta.gif
carvanha,318.0,./gifs/clear/carvanha.gif,./gifs/blacked/carvanha.gif,0.0,hoenn,kanivanha,carvanha,キバニア,샤프니아,利牙魚,carvanha,carvanha,carvanha,carvanha,./gifs/shiny/carvanha.gif
